source,title,abstract,year,journal,doi,pmid,rec_id,decision,model_decision,reason,model_reason,review_note,include_prob,exclude_prob,pico_population,pico_intervention,pico_comparison,pico_outcome,exclusion_reasons,p_matches,i_matches,c_matches,o_matches,exclusion_triggers,provider,model,verified
pubmed,Prediction of Pentacam image after corneal cross-linking by linear interpolation technique and U-NET based 2D regression model,"Keratoconus is a common corneal disease that causes vision loss. In order to prevent the progression of the disease, the corneal cross-linking (CXL) treatment is applied. The follow-up of keratoconus after treatment is essential to predict the course of the disease and possible changes in the treatment. In this paper, a deep learning-based 2D regression method is proposed to predict the postoperative Pentacam map images of CXL-treated patients. New images are obtained by the linear interpolation augmentation method from the Pentacam images obtained before and after the CXL treatment. Augmented images and preoperative Pentacam images are given as input to U-Net-based 2D regression architecture. The output of the regression layer, the last layer of the U-Net architecture, provides a predicted Pentacam image of the later stage of the disease. The similarity of the predicted image in the final layer output to the Pentacam image in the postoperative period is evaluated by image similarity algorithms. As a result of the evaluation, the mean SSIM (The structural similarity index measure), PSNR (peak signal-to-noise ratio), and RMSE (root mean square error) similarity values are calculated as 0.8266, 65.85, and 0.134, respectively. These results show that our method successfully predicts the postoperative images of patients treated with CXL.",2022,Computers in Biology and Medicine (2022) 146 Article Number: 105541. Date of Publication: 1 Jul 2022,10.1016/j.compbiomed.2022.105541,35525070.0,WOS:000800376200004,exclude,exclude,"The study focuses on predicting postoperative Pentacam images after corneal cross-linking but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on predicting postoperative Pentacam images after corneal cross-linking but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,none,none,none,none,"No defined population, intervention, comparison, or outcome.; Focuses on a predictive model rather than clinical outcomes.",,,,,,openai,gpt-4o-mini,yes
pubmed,A Combined Biomechanical and Tomographic Model for Identifying Cases of Subclinical Keratoconus,"PURPOSE: To develop a combined biomechanical and tomographic model for identifying eyes with subclinical keratoconus (SKC) that are categorized as normal or borderline in the Pentacam Belin/Ambrósio Enhanced Ectasia Display. METHODS: This case-control study comprised 62 eyes with SKC and randomly selected eyes of 186 age-matched healthy controls. SKC was defined as the presence of the following: 1) normal topography, topometric indices, and slit lamp; 2) normal or borderline Belin/Ambrósio Enhanced Ectasia Display D index, back and front elevation difference; and 3) keratoconus in the fellow eye. Stepwise logistic regression analysis was performed to identify the best variable combination for detecting SKC cases from Ocular Response Analyzer and Pentacam parameters. Receiver operating characteristic curve analysis was used to determine the predictive accuracy [area under the curve (AUC)] of the model. Based on the predictors in the final logistic regression model, a linear equation was derived using the discriminant function analysis. RESULTS: The final model (AUC: 0.948, sensitivity: 87.1%, and specificity: 91.4%) chose corneal hysteresis (CH) and D index from a total of 63 candidate variables. The final model had a higher AUC compared with D (0.933, P = 0.053) and CH (0.80, P < 0.001) alone. According to the discriminant function analysis, a higher CH was required with increasing D index to classify an eye as normal. CONCLUSIONS: The proposed combined model provided varying cutoffs for CH and D as a function of the other. The probability plot as a function of CH and D index may be used for identifying eyes with SKC.",2020,Cornea (2020) 39:4 (461-467). Date of Publication: 1 Apr 2020,10.1097/ICO.0000000000002205,31738245.0,WOS:000524348500015,include,include,"The study develops a model for identifying subclinical keratoconus, aligning with PICO criteria for outcomes related to keratoconus diagnosis.","The study develops a model for identifying subclinical keratoconus, aligning with PICO criteria for outcomes related to keratoconus diagnosis.",,0.8,0.2,Eyes with subclinical keratoconus and age-matched healthy controls.,Combined biomechanical and tomographic model for detection.,Normal or borderline eyes categorized by Pentacam.,Predictive accuracy measured by AUC for identifying subclinical keratoconus.,,subclinical keratoconus patients; healthy controls,biomechanical and tomographic model,normal or borderline eyes,predictive accuracy for identifying subclinical keratoconus,,openai,gpt-4o-mini,yes
pubmed,A Novel Optical Coherence Tomography-based Keratoconus Diagnostic Index Incorporating Stromal and Epithelial Features,"PURPOSE: To establish a diagnostic index for keratoconus based on
spectral-domain optical coherence tomography (SD-OCT) and to compare it
with existing parameters. METHODS: SD-OCT and Scheimpflug-based
tomography were conducted on normal and keratoconic eyes. Multiple
SD-OCT machine-derived parameters were assessed for the whole cornea,
stroma, and epithelium. Receiver operating characteristic (ROC) curves
were performed to determine area under the curve (AUC), sensitivity, and
specificity. Principal component analysis and multinomial logistic
regression after features selection established a new diagnostic index
(Whole Information of Stroma and Epithelium [WISE]). The WISE index was
compared with existing Scheimpflug-based diagnostic parameters. RESULTS:
A total of 306 healthy control, 101 forme fruste keratoconus (FFKC), 86
early keratoconus (EKC), and 161 advanced keratoconus eyes were included
for training and internal validation, as well as 52 normal, 31 FFKC, and
36 EKC eyes as a test dataset. The highest-ranked SD-OCT parameters to
discriminate FFKC and EKC from normal eyes were Pachymetry_9mm_N (AUC =
0.65) and Epithelium_5mm_SN-IT (AUC = 0.77). In the internal validation
and test datasets, the proposed WISE index demonstrated AUC = 0.76 and
0.83 for FFKC, and = 0.92 and 0.94 for EKC, respectively, comparable to
Belin-Ambr & oacute;sio Deviation and Pentacam Random Forest Index, as
confirmed by De-Long's test (All P > .10). CONCLUSIONS: Individual
OCT-based machine-derived parameters lack sufficient power to
discriminate FFKC and EKC from normal corneas, but this can be improved
by combining OCT-based information from stroma and epithelium as in this
new index. The discrimination accuracy of the WISE index was comparable
to existing Scheimpflug-based indices.",2025,Journal of Refractive Surgery (2025) 41:8 (748-759). Date of Publication: 1 Aug 2025,10.3928/1081597X-20250602-02,40778860.0,WOS:001547917200002,exclude,exclude,"The study focuses on establishing a diagnostic index for keratoconus using OCT, which does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on establishing a diagnostic index for keratoconus using OCT, which does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,,,,,"No specific population, intervention, comparison, or outcome defined.; Focuses on diagnostic index development rather than a specific PICO framework.",,,,,,openai,gpt-4o-mini,yes
pubmed,Evaluation of Anterior and Posterior Corneal Higher Order Aberrations for the Detection of Keratoconus and Suspect Keratoconus,"Aim: To investigate the application of anterior and posterior corneal
higher-order aberrations (HOAs) in detecting keratoconus (KC) and
suspect keratoconus (SKC). Method: A retrospective, case-control study
evaluating non-ectatic (normal) eyes, SKC eyes, and KC eyes. The Sirius
Scheimpfug (CSO, Italy) analyses was used to measure HOAs of the
anterior and posterior corneal surfaces. Sensitivity, specificity, and
area under the receiver operating characteristic curve (AUC) were
calculated. Results: Two-hundred and twenty eyes were included in the
analysis (normal n = 108, SKC n = 42, KC n = 70). Receiver operating
characteristic (ROC) curve analysis revealed a high predictive ability
for anterior corneal HOAs parameters: the root mean square (RMS) total
corneal HOAs, RMS trefoil, and RMS coma to detect keratoconus (AUC > 0.9
for all). RMS Coma (3, +/- 1) derived from the anterior corneal surface
was the parameter with the highest ability to discriminate between
suspect keratoconus and normal eyes (AUC = 0.922; cut-off > 0.2). All
posterior corneal HOAs parameters were unsatisfactory in discriminating
between SKC and normal eyes (AUC < 0.8 for all). However, their ability
to detect KC was excellent with AUC of >0.9 for all except RMS spherical
aberrations (AUC = 0.846). Conclusions: Anterior and posterior corneal
higher-order aberrations can differentiate between keratoconus and
normal eyes, with a high level of certainty. In suspect keratoconus
disease, however, only anterior corneal HOAs, and in particular
coma-like aberrations, are of value. Corneal aberrometry may be of value
in screening for keratoconus in populations with a high prevalence of
the disease.",2022,TOMOGRAPHY,10.3390/tomography8060240,36548532.0,WOS:000902743600001,exclude,exclude,"The study evaluates corneal higher-order aberrations for keratoconus detection but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study evaluates corneal higher-order aberrations for keratoconus detection but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,"normal, suspect keratoconus, and keratoconus eyes",anterior and posterior corneal higher-order aberrations,none specified,detection of keratoconus and suspect keratoconus,No explicit inclusion/exclusion keywords present.; Does not meet PICO criteria for intervention or comparison.,normal eyes; suspect keratoconus eyes; keratoconus eyes,anterior and posterior corneal higher-order aberrations,,sensitivity; specificity; AUC,,openai,gpt-4o-mini,yes
pubmed,"2015 Jan 26. Staging of keratoconus indices regarding tomography, topography, and biomechanical measurements","Saarland University, Homburg/Saar, Germany. Kingdom. Homburg/Saar, Germany. PURPOSE: To derive limits of metric keratoconus indices for classification into keratoconus stages. DESIGN: Validity and reliability analysis of diagnostic tools. METHODS: A total of 126 patients from the keratoconus center of Homburg/Saar were evaluated with respect to Amsler criteria, using Pentacam (Keratoconus Index [KI], Topographic Keratoconus Classification [TKC]), Topographic Modeling System (Smolek/Klyce, Klyce/Maeda), and Ocular Response Analyzer (Keratoconus Match Probability [KMP], Keratoconus Match Index [KMI]). Mean value, standard deviation, 90% confidence interval, and the Youden J index for definition of the thresholds were evaluated. RESULTS: For separation of keratoconus stages 0/1/2/3/4 we derived the following optimum thresholds: for KI 1.05/1.15/1.31/1.49 and for KMI 0.77/0.32/-0.08/-0.3. For Smolek/Klyce and Klyce/Maeda high standard deviations and overlapping confidence intervals were found; therefore no discrete thresholds could be defined. Nevertheless, for them we still found a good sensitivity and specificity in discriminating between healthy (stage 0) and keratoconus (stages 2-4) eyes in comparison with the other indices. CONCLUSIONS: We derived thresholds for the metric keratoconus indices KI and KMI, which allow classification of keratoconus stages. These now need to be validated in clinical use. Smolek/Klyce and Klyce/Maeda were not sufficiently sensitive to allow classification into individual stages, but these indices did show a good specificity and sensitivity in discriminating between keratoconus and healthy eyes.",,,,25634534.0,,exclude,exclude,"The study focuses on staging keratoconus indices but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on staging keratoconus indices but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,none,none,none,none,No specific population defined.; No intervention or treatment discussed.; No comparison group identified.; No clear outcome measures presented.,,,,,,openai,gpt-4o-mini,yes
pubmed,eCollection 2020 Jun. Keratoconus Detection Based on a Single Scheimpflug Image,"PURPOSE: To introduce a new approach for keratoconus detection based on corneal microstructure observed in vivo derived from a single Scheimpflug image. METHODS: Scheimpflug single-image snapshots from 25 control subjects and 25 keratoconus eyes were analyzed; from each group, five subjects were randomly selected to provide out-of-sample data. Each corneal image was segmented, after which the stromal pixel intensities were statistically modeled with a Weibull distribution. Distribution estimated parameters α and β, characterizing corneal microstructure, were used in combination with a macrostructure parameter, central corneal thickness (CCT), for the detection of keratoconus. In addition, receiver operating characteristic curves were used to determine the sensitivity and specificity of each parameter for keratoconus detection. RESULTS: The combination of CCT (sensitivity = 88%; specificity = 84%) with microscopic parameters extracted from statistical modeling of light intensity distribution, α (sensitivity = 76%; specificity = 76%) and β (sensitivity = 96%; specificity = 88%), from a single Scheimpflug image was found to be a successful tool to differentiate between keratoconus and control eyes with no misclassifications (sensitivity = 100%; specificity = 100%) with coefficients of variation up to 2.5%. CONCLUSIONS: The combination of microscopic and macroscopic corneal parameters extracted from a static Scheimpflug image is a promising, non-invasive tool to differentiate corneal diseases without the need to perform measurements based on induced deformation of the corneal structure. TRANSLATIONAL RELEVANCE: The proposed methodology has the potential to support clinicians in the detection of keratoconus, without compromising patient comfort.",,,,32832241.0,,exclude,exclude,"The study focuses on keratoconus detection using Scheimpflug imaging but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on keratoconus detection using Scheimpflug imaging but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,none,none,none,none,No specific population defined.; No intervention or comparison present.; Outcomes not aligned with PICO criteria.,,,,,,openai,gpt-4o-mini,yes
pubmed,"K. Karnowski, None; J.J. Rozema, None; M. Wojtkowski, None; D.R. Iskander, None 247. Cont Lens Anterior Eye. 2025 Jun;48(3):102382. doi: 10.1016/j.clae.2025.102382","Ethnicity optimized indices enhance the diagnostic efficiency of early Keratoconus: A multicenter validation study. China; Nankai University Eye Institute, Nankai University, Tianjin, PR China. University Eye Institute, Nankai University, Tianjin, PR China. Electronic PURPOSE: This study aimed to evaluate the effectiveness of an ethnically-optimized corneal tomography and biomechanics index using artificial intelligence (AI) techniques for diagnosing early ectasia in Chinese populations and determine the diagnostic indices' sensitivity, specificity, and cutoff value for clinical practice. METHODS: This multicenter case-control retrospective study included 1,012 eyes from three centers in China (Tianjin, Shaanxi, and Shandong). The groups included very asymmetric ectasia with normal topography (VAE-NT, n = 146), contralateral ectasia (VAE-E, n = 127), bilateral keratoconus (KC, n = 247), and normal eyes (NL, n = 492). The diagnostic efficiency of the Corvis Biomechanical Index (CBI), CBI for Chinese populations (cCBI), Tomographic and Biomechanical Index version 1 (TBIv1), TBI version 2 (TBIv2), and TBI for Chinese populations (cTBI) was assessed using receiver operating characteristic (ROC) curves. The diagnostic efficiency was compared using DeLong's test. RESULTS: cTBI had the highest diagnostic accuracy for distinguishing NL from early ectasia (VAE-NT), with an area under the ROC (AUROC) of 0.93 at the cutoff value of 0.41, a sensitivity of 84.39 % and specificity of 92.67 %. cTBI diagnostic efficacy in early ectasia was better than TBIv2, TBIv1, cCBI, and CBI (Delong test, P < 0.01). It also had the best efficacy in distinguishing NL from ""disease"" (VAE-NT + VAE-E + KC), with an AUROC of 0.98 at the cutoff value of 0.66, sensitivity of 91.05 %, and specificity of 99.39 %. cTBI achieved 100 % sensitivity and specificity for distinguishing NL from clinical ectasia (VAE-E + KC) at a cutoff of 0.81. CONCLUSIONS: The ethnicity optimized cTBI index had good diagnostic efficiency for early ectasia in the Chinese population, highlighting the benefit of ethnic-specific parameter optimization.",,,,39947981.0,,exclude,exclude,"The study focuses on ethnic optimization of diagnostic indices for keratoconus but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on ethnic optimization of diagnostic indices for keratoconus but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,,,,,"No specific population, intervention, comparison, or outcome defined.; Focuses on ethnic optimization rather than a clear PICO framework.",,,,,,openai,gpt-4o-mini,yes
pubmed,Aug 9. Enhanced Tomographic Assessment to Detect Corneal Ectasia Based on Artificial Intelligence,"Brazil; Rio de Janeiro Corneal Tomography and Biomechanical Study Group, Rio de Janeiro, Brazil; Instituto de Olhos Renato Ambrósio, Rio de Janeiro, Brazil; Janeiro, Brazil. Brazil; Rio de Janeiro Corneal Tomography and Biomechanical Study Group, Rio de Janeiro, Brazil; Instituto de Olhos Renato Ambrósio, Rio de Janeiro, Brazil. Francisco, California, USA; Optical Express, Glasgow, United Kingdom. Francisco, California, USA; Optical Express, Glasgow, United Kingdom; F.I. California, USA. Vincieye Clinic, Milan, Italy. National d'Ophtalmologie, Paris, France; Biomedical Science Research Institute, Ulster University, Coleraine, United Kingdom. Brazil. PURPOSE: To improve the detection of corneal ectasia susceptibility using tomographic data. DESIGN: Multicenter case-control study. METHODS: Data from patients from 5 different clinics from South America, the United States, and Europe were evaluated. Artificial intelligence (AI) models were generated using Pentacam HR (Oculus, Wetzlar, Germany) parameters to discriminate the preoperative data of 3 groups: stable laser-assisted in situ keratomileusis (LASIK) cases (2980 patients with minimum follow-up of 7 years), ectasia susceptibility (71 eyes of 45 patients that developed post-LASIK ectasia [PLE]), and clinical keratoconus (KC; 182 patients). Model accuracy was independently tested in a different set of stable LASIK cases (298 patients with minimum follow-up of 4 years) and in 188 unoperated patients with very asymmetric ectasia (VAE); these patients presented normal topography (VAE-NT) in 1 eye and clinically diagnosed ectasia in the other (VAE-E). Accuracy was evaluated with ROC curves. RESULTS: The random forest (RF) provided highest accuracy among AI models in this sample with 100% sensitivity for clinical ectasia (KC+VAE-E; cutoff 0.52), being named Pentacam Random Forest Index (PRFI). Considering all cases, the PRFI had an area under the curve (AUC) of 0.992 (94.2% sensitivity, 98.8% specificity; cutoff 0.216), being statistically higher than the Belin/Ambrósio deviation (BAD-D; AUC = 0.960, 87.3% sensitivity, 97.5% specificity; P = .006, DeLong's test). The optimized cutoff of 0.125 provided sensitivity of 85.2% for VAE-NT and 80% for PLE, with 96.6% specificity. CONCLUSION: The PRFI enhances ectasia diagnosis. Further integrations with corneal biomechanical parameters and with the corneal impact from laser vision correction are needed for assessing ectasia risk.",,,,30098348.0,,include,exclude,"The study focuses on enhancing corneal ectasia detection using AI and tomographic data, which does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on enhancing corneal ectasia detection using AI and tomographic data, which does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,none,none,none,none,"No specific population, intervention, comparison, or outcome defined.; Focus on AI and tomographic data without alignment to PICO criteria.",,,,,,openai,gpt-4o-mini,yes
pubmed,Impact of Degraded Optics on Monocular and Binocular Vision: Lessons from Recent Advances in Highly-Aberrated Eyes,"PURPOSE: Optical imperfections of the eye, characterized by higher-order wavefront aberrations, are exaggerated in corneal disease (e.g., keratoconus) and iatrogeny (e.g., keratorefractive surgery for myopia correction, keratoplasty for optical clarity restoration). This article reviews the recent advances on this topic for a comprehensive understanding of how optical degradations in disease models impact retinal image quality and monocular and binocular visual performance. METHODS: Published literature over the last decade on retinal image quality and/or monocular and binocular visual functions with corneal irregularity was reviewed based on their relevance to the current topic, study population and strength of study design. The literature was summarized into four themes: 1) wavefront errors and retinal image quality of highly aberrated eyes, 2) monocular and binocular vision loss consequent to degraded optics and visual strategies to optimize performance, 3) impact of optical correction modalities on visual performance and 4) implications for clinical management of patients. RESULTS: Across the 46 articles reviewed, the results clearly indicated that an increase in higher-order aberrations across these conditions had a significant negative impact on the patient's retinal image quality, and monocular and binocular visual functions. Interocular differences in retinal image quality deteriorated visual performance more than an overall worsening of image quality bilaterally. Minimizing optical degradation using rigid contact lenses and adaptive optics technology significantly improves retinal image quality and monocular and binocular vision, but performance remains sub-optimal relative to age-similar healthy controls. CONCLUSION: Corneal disease and iatrogeny are useful models to understand the impact of optical degradation on retinal image quality and visual performance. Clinical management will greatly benefit from equalizing retinal image quality of both eyes of these patients. Future studies that deepen our understanding of the structure-function relation in these conditions are desirable for advancing vision science in this area and for developing novel clinical management strategies.",2022,SEMINARS IN OPHTHALMOLOGY,10.1080/08820538.2022.2094711,35786147.0,WOS:000820079600001,exclude,exclude,"The study reviews optical imperfections in corneal disease but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study reviews optical imperfections in corneal disease but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,none,none,none,none,No specific population defined.; No intervention or treatment evaluated.; No comparison group identified.; No clear outcome measure reported.,,,,,,openai,gpt-4o-mini,yes
pubmed,Apr 4. A novel large diameter rigid gas-permeable corneal contact lens design for keratoconus,"Violinista Vellsolà, 37, E08222, Terrassa, Spain. PURPOSE: To assess the fitting process and clinical feasibility of a novel large diameter rigid gas-permeable (RGP) corneal contact lens (CL) presenting regular or reverse geometry for managing keratoconus (KC). The lens was designed to rest on the peripheral cornea and vault over the cone, aiming to enhance visual quality, comfort, and corneal physiology. METHODS: 32 KC patients across all severity stages, including central, paracentral and peripheral cones enrolled. Lens parameters were customized from corneal measurements obtained via Oculus Pentacam HR tomography, mainly based on sagittal height and accounting for adequate tear film clearance. Visual acuity (VA), contrast sensitivity (CS), ocular complications, and user satisfaction were evaluated at baseline, and at one week and three months of lens wear. RESULTS: Twenty-four patients (41 eyes) were fitted and completed the 3-month follow-up (median age of 28.5 years, 9 females). A median of 2 trial lenses per eye (interquartile range of 4.5) were needed during the fitting process. Significant improvements in median VA (baseline: 0.32 logMAR; three months: 0.01 logMAR; p = 0.002) and CS (p < 0.001 at all frequencies) were observed compared to baseline values. Ocular complications remained below clinical significance, with superior limbic keratoconjunctivitis showing significant reduction over time (p < 0.001). Patient satisfaction was high, with a median daily lens wear of 9.5 h. Most users (79.2%) reported consistent comfort with their CLs. CONCLUSION: The novel large diameter RGP corneal CL demonstrated comparable efficacy to existing RGP CL designs, offering high levels of comfort and improved vision with minimal ocular complications.",,,,40184773.0,,include,include,"The study assesses a novel contact lens for managing keratoconus, aligning with PICO criteria for intervention and outcome.","The study assesses a novel contact lens for managing keratoconus, aligning with PICO criteria for intervention and outcome.",,1.0,0.0,Patients with keratoconus of varying severity.,A novel large diameter rigid gas-permeable contact lens designed for keratoconus management.,"Not specified, but compared to baseline measurements.","Improvements in visual acuity, contrast sensitivity, and patient satisfaction.",,keratoconus patients,large diameter rigid gas-permeable contact lens,,visual acuity; contrast sensitivity; ocular complications; user satisfaction,,openai,gpt-4o-mini,yes
pubmed,"Simultaneous Estimation of Corneal Topography, Pachymetry, and Curvature. Nasrin F, Iyer RV, Mathews SM","Identification of objective criteria to correctly diagnose ectatic diseases of the cornea or to detect early stages of corneal ectasia is of great interest in ophthalmology and optometry. Metrics for diagnosis typically employed are curvature maps (axial/sagittal, tangential); elevation map of the anterior surface of the cornea with respect to a reference sphere; and pachymetry (thickness) map of the cornea. We present evidence that currently used curvature maps do not represent the actual curvatures (principal or mean) in a human cornea. A novel contribution of this paper is the computation of the true mean curvature over every point of a central region of the cornea. We show that the true mean curvature can accurately identify the location of the ectasia. We present a quartic smoothing spline algorithm for the simultaneous computation of elevation maps for anterior and posterior corneal surfaces, pachymetry, and true mean curvature. The input to the algorithm is data from a single measurement from imaging devices such as an anterior segment optical coherence tomographer or a Scheimpflug imager. We show that a different combination of metrics is useful for the diagnosis of existing ectasia (true mean curvature and anterior elevation map) as opposed to subclinical ectasia (pachymetry and posterior elevation map). We compare our results with existing algorithms, and present applications to a normal cornea, a forme fruste keratoconic cornea, and an advanced keratoconic cornea.",,,,29994760.0,,exclude,exclude,"The study focuses on corneal topography and curvature metrics for diagnosing ectatic diseases but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on corneal topography and curvature metrics for diagnosing ectatic diseases but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,none,none,none,none,No specific population defined.; No intervention or treatment assessed.; No comparison group included.; No clear outcome measures identified.,,,,,,openai,gpt-4o-mini,yes
pubmed,2015 Nov 25. Evaluation of Corneal Thickness and Volume Parameters of Subclinical Keratoconus Using a Pentacam Scheimflug System,"Medical University , Harbin , The People's Republic of China. People's Republic of China. PURPOSE: To evaluate the efficacy of corneal thickness and volume parameters measured with the Pentacam Scheimflug system in discriminating subclinical keratoconus corneas and normal corneas. METHODS: This study included 19 patients (19 eyes) with subclinical keratoconus and 29 patients (29 eyes) with myopic astigmatism as the control group. Corneas were evaluated using a Pentacam Scheimflug system (2002 model, Oculus, Berkshire, UK). We evaluated corneal thickness and volume parameters, including central corneal thickness (CCT), minimum corneal thickness (MCT), depressed corneal thickness (DCT), maximum progression index (MaxPI), average progression index (AvPI), minimum progression index (MinPI), and corneal volume values for the 3.0 mm (CV3), 5.0 mm (CV5), and 7.0 mm (CV7) central circles. Receiver operating characteristic (ROC) curves were used to compare the sensitivity and the specificity of the parameters. Partial least squares (PLS) analysis was used to construct models with corneal thickness and volume parameters for early diagnosis. RESULTS: There were significant differences in all parameters (p < 0.001), except CV3 and CV5, between subclinical keratoconus and normal corneas. The diagnostic accuracy for all parameters was high, with an area-under-the-curve (AUC) of approximately 1. The optimal cutoff values for DCT, MinPI, AvPI, and MaxPI were 5.5, 0.95, 1.05, and 1.45 for subclinical keratoconus, respectively. The PLS model for subclinical keratoconus fit well to the CCT, MCT, MaxPI, AvPI, MinPI, CV3, and CV7 data. CONCLUSION: Thickness and volume parameters measured by the Pentacam Scheimflug system effectively discriminate subclinical keratoconus corneas from normal corneas.",,,,26605668.0,,exclude,exclude,"The study evaluates corneal thickness and volume parameters for subclinical keratoconus but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study evaluates corneal thickness and volume parameters for subclinical keratoconus but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,Patients with subclinical keratoconus and normal corneas.,Evaluation using the Pentacam Scheimflug system.,Comparison with myopic astigmatism.,Discrimination of corneal parameters.,Does not meet explicit PICO criteria.; Focuses on diagnostic parameters rather than interventions or outcomes.,subclinical keratoconus; normal corneas,Pentacam Scheimflug system,myopic astigmatism,corneal thickness; corneal volume,,openai,gpt-4o-mini,yes
pubmed,"2018 Mar 23. Comparative evaluation of Scheimpflug tomography parameters between thin non-keratoconic, subclinical keratoconic, and mild keratoconic corneas","PURPOSE: To evaluate and compare the topographic and topometric parameters, thickness profile data, and data from enhanced elevation maps of thin non-keratoconic, subclinical keratoconic, and mild keratoconic corneas with the Pentacam Scheimpflug corneal tomography and to study the usefulness of different parameters to differentiate keratoconus from topographically normal thin corneas. METHODS: The study included 30 eyes with subclinical keratoconus, 30 eyes with mild-stage keratoconus, and 54 healthy eyes with minimal pachymetry ≤500 µm, with a mean age of 21.19 ± 2.97, 21.75 ± 1.93, and 21.5 ± 2.95 years, respectively. The area under the receiver operating characteristic curves was used to analyze the diagnostic significance of the Pentacam parameters. RESULTS: The anterior and posterior corneal elevations, pachymetric progression, the percentage of thickness increase measurements, overall D value, and topometric indices were statistically significantly higher in subclinical and mild keratoconic corneas than in normal eyes with thin cornea (p < 0.05). All these parameters had sufficient strength (area under the receiver operating characteristic curves >0.90) to differentiate clinical keratoconus. Posterior elevation showed the excellent area under the receiver operating characteristic curves with 100% sensitivity and 100% specificity for this purpose. However, among all parameters studied, the anterior elevation (0.935) showed the excellent area under the receiver operating characteristic curves to differentiate subclinical keratoconus, followed by posterior elevation (0.897), index of height decentration (0.887), and D value (0.882). CONCLUSION: The parameters derived from the Scheimpflug device, such as corneal elevations and overall D value, can effectively differentiate subclinical and clinical keratoconus from non-keratoconic thin cornea eyes. However, the specificity levels of these parameters were relatively limited in the diagnosis of subclinical keratoconus.",,,,29566542.0,,exclude,exclude,"The study evaluates corneal parameters but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study evaluates corneal parameters but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,"Thin non-keratoconic, subclinical keratoconic, and mild keratoconic corneas.",None specified.,Comparison of corneal parameters among different corneal conditions.,Diagnostic significance of corneal parameters.,No specific intervention or outcome defined.; Focus on diagnostic parameters rather than treatment or intervention.,thin non-keratoconic; subclinical keratoconic; mild keratoconic,,,,,openai,gpt-4o-mini,yes
pubmed,"Corneal first surface optical aberrations and visual performance. Applegate RA(1), Hilmantel G, Howland HC, Tu EY, Starck T, Zayac EJ","PURPOSE: Wavefront analysis has demonstrated that refractive surgery-induced corneal first surface aberrations are large, are dominated by symmetric aberrations (spherical-like aberrations), and are correlated to measures of visual performance. It is not clear whether the correlation between corneal first surface aberrations and visual performance can be generalized to other corneal conditions where large asymmetric aberrations (coma-like aberrations) may dominate the aberration structure. The purpose of the research reported here was to determine the general utility of corneal first surface wavefront analysis in predicting visual performance. METHODS: Patients were 13 normals and 78 patients with a variety of corneal conditions including surgically removed pterygia, penetrating keratoplasty, keratoconus, radial keratotomy, laser in situ keratomileusis, and others. Videokeratographs were taken for all patients and used to calculate corneal first surface wavefront variance for 3 and 7 mm pupils. Similarly, visual performance was quantified by measurements of contrast sensitivity and high and low contrast acuities through both 3 and 7 mm pupils. RESULTS: Statistically significant correlations existed between all three measures of visual performance and the corneal wavefront variance. All relationships were stronger for the 7 mm diameter-pupil condition than the 3 mm pupil. CONCLUSION: Regardless of the cause, corneas with increased wavefront variance showed a quantifiable decrease in visual performance that was pupil size dependent.",,,,11019864.0,,exclude,exclude,"The study focuses on corneal aberrations and visual performance but does not align with specific PICO criteria for population, intervention, comparison, or outcome.","The study focuses on corneal aberrations and visual performance but does not align with specific PICO criteria for population, intervention, comparison, or outcome.",,0.0,1.0,Not specified.,Not specified.,Not specified.,Not specified.,"No defined population, intervention, comparison, or outcome.; Focus on corneal aberrations without specific PICO alignment.",,,,,,openai,gpt-4o-mini,yes
