study_id,first_author,year,ta_decision,ft_decision,extraction_status,pdf_url,ai_system,ai_version,regulator_certified,camera_type,tp,fn,tn,fp,sensitivity,specificity,auc,prevalence,n_total_arm,evidence_snippet,evidence_page,evidence_source
Bauer_2025,Bauer FM,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Bauer_2025.pdf,OphtAI,2.3.4,CE,Optomed Aurora handheld retinal camera,7.0,3.0,133.0,0.0,0.7,1.0,,0.07,143.0,qualityofallimagesas Sensitivity Specificity sufficientforanalysisorbetter. 7/7+3=0.7 133/133+0=1.0 (RP/RP+FN) (RN/RN+FP) Discussion AutomatedscreeningforDRrequires acameraandanAI-based algorithm. Cameramod,5.0,3of4_dropfp
Bauer_2025,Bauer FM,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Bauer_2025.pdf,RetCAD,2.2.0,CE,Optomed Aurora handheld retinal camera,9.0,1.0,133.0,0.0,0.9,1.0,,0.07,143.0,"negative Truenegative (FN) (RN) 1min-max,2frequency Sensitivity Specificity 9/9+1=0.9 133/133+0=1.0 (RP/RP+FN) (RN/RN+FP) The artificial intelligence-based algorithm RetCAD version 2.2.0achievedasensitivity",5.0,3of4_dropfp
41651934.0,Berrada L,2026,maybe,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41651934.0.pdf,MONA.health,nan,CE,Crystalvue non-mydriatic 45-degree color fundus camera,48.0,6.0,295.0,4.0,0.889,0.987,0.965,0.153,353.0,"The area under the curve (AUC) was 96.5% (95% CI: 91.8-99.7), sensitivity was 88.9% (77.4-95.8), and specificity was 98.7% (96.7-99.7).",,text
31335200.0,Bhaskaranand M,2019,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/31335200.0.pdf,EyeArt,v2.0,none,Multiple fundus cameras (EyePACS telescreening; mydriatic and nonmydriatic protocols),18917.0,1803.0,73797.0,7193.0,0.913,0.911,0.965,0.2037,101710.0,"Of the 101,710 encounters, the EyeArt system reported 18,917 that were TP, 73,797 that were TN, 7193 that were FP, and 1803 that were false negative (FN).",639.0,text
Burlina_2024,Burlina S,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Burlina_2024.pdf,"DAIRET (Retmarker Screening, Italian version)",nan,CE,"Nikon Retina Station (non-mydriatic), 45° two-field (optic disc and macula)",14.0,0.0,361.0,492.0,1.0,0.42,,0.016,867.0,was to compare the per- formance of the DAIRET system in detecting DR to that of ophthalmologists in a real-world setting. Methods Fundus photography was performed with a nonmydriatic camera in 958 consecutive patients older than 18 years who were affected by diabetes and who were enrolled in the DR screening in the Di,1.0,ai_name
Chia_2023,Chia M,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Chia_2023.pdf,Google DLS (ARDA),latest CE-marked version (Inception-V4 ensemble),CE,Topcon Maestro,273.0,6.0,1029.0,53.0,0.98,0.951,,0.205,1361.0,"classification of no vtDR rather than the reference DR errors made by the DLS, 53% were due to misclassifications standard, suggesting that these were likely difficult cases. The between ‘no mtmDR’ and ‘ungradable for mtmDR,’ indicating DLS also missed seven cases of mtmDR, which were all instead that gradability disag",4.0,3of4_droptn
Doan_2024,Doğan ME,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Doan_2024.pdf,EyeCheckup,version-locked (CE-certified),CE,"Optomed Aurora (non-mydriatic, handheld)",114.0,12.0,699.0,20.0,0.9048,0.9721,,0.1491,845.0,Optomed aurora ... mtmDR Sensitivity (114/126) 90.48% Specificity (699/719) 97.21%,1699.0,table
Doan_2024,Doğan ME,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Doan_2024.pdf,EyeCheckup,version-locked (CE-certified),CE,Canon CR2 AF (non-mydriatic),110.0,5.0,565.0,24.0,0.9565,0.9592,,0.1634,704.0,Canon CR2 AF ... Sensitivity (110/115) 95.65% Specificity (565/589) 95.92%,1699.0,table
Doan_2024,Doğan ME,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Doan_2024.pdf,EyeCheckup,version-locked (CE-certified),CE,Topcon TRC-NW400 (non-mydriatic),99.0,5.0,464.0,17.0,0.9519,0.9646,,0.1778,585.0,Topcon NW400 ... Sensitivity (99/104) 95.19% Specificity (464/481) 96.46%,1699.0,table
40925861.0,Duggal M,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40925861.0.pdf,"AI-3 (one of Leben Care Health Services, Retinal AI Diagnostic Software, or SigTuple Technologies; assignment masked)",nan,none,"3Netra Classic Portable Benchtop Fundus Camera (Forus Health), nonmydriatic, 45° FOV, two-field",86.0,23.0,517.0,10.0,0.789,0.981,,0.171,636.0,"for detecting RDR, sensitivity and specificity were 78.9% and 98.1%. ... RDR Sensitivity (%) 78·9 Specificity (%) 98·1 PPV (%) 89·6 NPV (%) 95·7 κ value 0.81",6.0,table|derived_2x2
GonzlezGonzalo_2019,Gonzalez-Gonzalo C,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/GonzlezGonzalo_2019.pdf,RetCAD,v.1.3.0 (Thirona),CE,"Canon CR-2PlusAF non-mydriatic fundus camera, 45-degree FOV",100.0,11.0,443.0,46.0,0.901,0.906,0.951,0.185,600.0,"For DR vs. AMD + controls (A), AUC was 95.1% (95% CI, 90.8%-98.2%), SE was 90.1% (95% CI, 85.2%-96.8%) and SP was 90.6% (95% CI, 85.5%-96.7%).",372.0,figure_caption
GonzlezGonzalo_2019,Gonzalez-Gonzalo C,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/GonzlezGonzalo_2019.pdf,RetCAD,v.1.3.0 (Thirona),CE,"Topcon TRC NW6 non-mydriatic 3CCD retinography, 45-degree FOV (800 dilated / 400 non-dilated)",460.0,40.0,645.0,55.0,0.92,0.921,0.975,0.417,1200.0,"Regarding detection of referable DR in Messidor, AUC was 97.5% (SE = 92.0%, SP = 92.1%)",368.0,abstract|derived_2x2
Grzybowski_Brona_2021,Grzybowski A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_Brona_2021.pdf,IDx-DR,nan,FDA,Topcon TRC-NW400 non-mydriatic,56.0,4.0,105.0,5.0,0.9333,0.9545,0.9439,0.3529,170.0,"Sensitivity 93.33% Specificity 95.45% ... Area under the ROC curve 94.39% (Table 3). IDx-DR marked 4 out of the 60 patients as negative; for DR absent group IDx-DR detected 5 as DR, 105 as no DR.",4.0,table
Grzybowski_Brona_2021,Grzybowski A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_Brona_2021.pdf,Retinalyze (Strategy 1: >=1 positive image),nan,CE,Topcon TRC-NW400 non-mydriatic,53.0,6.0,79.0,31.0,0.8966,0.7182,0.8074,0.3529,169.0,"Retinalyze Strategy 1: Sensitivity 89.66%, Specificity 71.82%, Area under the ROC curve 80.74%. Tables: DR-present group 53 detected/6 no DR/1 insufficient; DR-absent group 31 detected/79 no DR.",4.0,table
Grzybowski_Brona_2021,Grzybowski A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_Brona_2021.pdf,Retinalyze (Strategy 2: >=2 positive images),nan,CE,Topcon TRC-NW400 non-mydriatic,44.0,15.0,103.0,7.0,0.7414,0.9364,0.8389,0.3529,169.0,"Retinalyze Strategy 2: Sensitivity 74.14%, Specificity 93.64%, Area under the ROC curve 83.89%. Tables: DR-present group 44 detected/15 no DR/1 insufficient; DR-absent group 7 detected/103 no DR.",4.0,table
Grzybowski_2023,Grzybowski A,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2023.pdf,IDx-DR,nan,both,Topcon NW400,172.0,2.0,431.0,202.0,0.99,0.68,,0.2156,807.0,"ferencestandard (consensus grading) Positive(moderateNPDRandabove 166(21) 8 (1) 172(21) 2 (0.2) 174 and/orCSDME), n (%) Negative (noDR and mildNPDR), 125(15) 508 (63) 202(25) 431 (53) 633 n (%) Total 291 516 374 433 807 NPDR,non-proliferativediabeticretinopathy;DR,diabeticretinopathy;CSDME,clin",4.0,all4_2x2
Grzybowski_2023,Grzybowski A,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2023.pdf,IDx-DR,nan,FDA,Topcon NW400,172.0,2.0,431.0,202.0,0.99,0.68,,0.2156,807.0,"ferencestandard (consensus grading) Positive(moderateNPDRandabove 166(21) 8 (1) 172(21) 2 (0.2) 174 and/orCSDME), n (%) Negative (noDR and mildNPDR), 125(15) 508 (63) 202(25) 431 (53) 633 n (%) Total 291 516 374 433 807 NPDR,non-proliferativediabeticretinopathy;DR,diabeticretinopathy;CSDME,clin",4.0,all4_2x2
Grzybowski_2023,Grzybowski A,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2023.pdf,Medios AI,nan,CE,Topcon NW400,166.0,8.0,508.0,125.0,0.95,0.8,,0.2156,807.0,"ative total Referencestandard (consensus grading) Positive(moderateNPDRandabove 166(21) 8 (1) 172(21) 2 (0.2) 174 and/orCSDME), n (%) Negative (noDR and mildNPDR), 125(15) 508 (63) 202(25) 431 (53) 633 n (%) Total 291 516 374 433 807 NPDR,non-proliferativediabeticretinopathy;DR,diabeticretin",4.0,all4_2x2
Grzybowski_2023,Grzybowski A,2023,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2023.pdf,Medios AI,nan,unknown,Topcon NW400,166.0,8.0,508.0,125.0,0.95,0.8,,0.2156,807.0,"ative total Referencestandard (consensus grading) Positive(moderateNPDRandabove 166(21) 8 (1) 172(21) 2 (0.2) 174 and/orCSDME), n (%) Negative (noDR and mildNPDR), 125(15) 508 (63) 202(25) 431 (53) 633 n (%) Total 291 516 374 433 807 NPDR,non-proliferativediabeticretinopathy;DR,diabeticretin",4.0,all4_2x2
30765436,Grzybowski A,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/30765436.pdf,IDx-DR,nan,FDA,Topcon NW-400 non-mydriatic fundus camera,141.0,1.0,425.0,191.0,0.993,0.6899,,0.1873,758.0,"The IDx-DR system could detect RDR in 141 patients with a sensitivity of 99.30% (95% CI 96.14%, 99.98%), at a cost of low specificity at 68.99% (95% CI 65.18%, 72.63%).",5.0,text
30765436,Grzybowski A,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/30765436.pdf,RetCAD,v2.1.1,CE,Topcon NW-400 non-mydriatic fundus camera,127.0,15.0,584.0,32.0,0.8944,0.9481,,0.1873,758.0,"The RetCAD system was able to detect 127 patients with referable DR (RDR) with a sensitivity of 89.44% (95% CI 83.18%, 93.97%) at a very high specificity of 94.81% (92.75%, 96.42%).",5.0,text
Grzybowski_2025b,Grzybowski A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2025b.pdf,IDx-DR,nan,FDA,Topcon NW-400 non-mydriatic fundus camera,105.0,1.0,421.0,168.0,0.991,0.715,,0.1525,695.0,"Out of 106 patients with ground truth labelled as RDR, the IDx-DR system detected 105. This translates to a sensitivity of 99.1% (95% CI 94.7%, 100.0%) and a specificity of 71.5% (95% CI 67.6%, 75.1%).",391.0,text
Grzybowski et al. (2025),Grzybowski A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski et al. (2025).pdf,IDx-DR,nan,FDA,Topcon NW-400 non-mydriatic,141.0,1.0,425.0,191.0,0.993,0.6899,,0.1873,758.0,"The IDx-DR system could detect RDR in 141 patients with a sensitivity of 99.30% (95% CI 96.14%, 99.98%), at a cost of low specificity at 68.99% (95% CI 65.18%, 72.63%).",78.0,text
Grzybowski_2025b,Grzybowski A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2025b.pdf,MONA DR,DME v1.0.0,other,Topcon NW-400 non-mydriatic fundus camera,99.0,7.0,526.0,63.0,0.934,0.893,,0.1525,695.0,"It correctly identified 99 of the 106 patients with a ground truth diagnosis of RDR. This translates to a sensitivity of 93.4% (95% CI: 86.7%, 97.3%) and a specificity of 89.3% (95% CI: 86.5%, 91.7%).",391.0,text
Grzybowski et al. (2025),Grzybowski A,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski et al. (2025).pdf,RetCAD,v2.1.1,CE,Topcon NW-400 non-mydriatic,127.0,15.0,584.0,32.0,0.8944,0.9481,,0.1873,758.0,"The RetCAD system was able to detect 127 patients with referable DR (RDR) with a sensitivity of 89.44% (95% CI 83.18%, 93.97%) at a very high specificity of 94.81% (92.75%, 96.42%).",78.0,text
41257814.0,Guedes I,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41257814.0.pdf,EyeArt,2.1.0,CE,Topcon TRC-NW400 non-mydriatic fundus camera,189.0,0.0,289.0,20.0,1.0,0.935,,0.3795,498.0,The estimated binocular sensitivity (bSen) was 100% (95% CI: 98.1–100)... The estimated binocular specificity (bSp) was 93.5% (95% CI: 90.2–96.0)... AI (+) Yes 189 No 20; AI (-) Yes 0 No 289,9.0,table
Heydon et al. (2021),Heydon P,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Heydon et al. (2021).pdf,EyeArt,v2.1.0,CE,"mixed (three DESPs, not specified)",2107.0,95.0,15219.0,12984.0,0.957,0.54,,0.0724,30405.0,Sensitivity (95% CIs) of EyeArt was 95.7% (94.8% to 96.5%) for referable retinopathy... a specificity of 54.0% (53.4% to 54.5%) when combined with non-referable retinopathy.,1.0,abstract
Hsieh_2021,Hsieh YT,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Hsieh_2021.pdf,VeriSee,nan,unknown,Canon CR-2 non-mydriatic fundus camera,199.0,24.0,1488.0,164.0,0.892,0.901,0.95,0.1189,1875.0,icity(95%CI) 89.5%(87.4%e91.6%) 97.5%(96.9%e98.1%) 71.9%(69.3%e74.4%) <0.001 <0.001 Accuracy(95%CI) 90.7%(89.4%e92.3%) 90.6%(84.0%e91.8%) 68.3%(67.2%e71.4%) 0.333 <0.001 PDR Sensitivity(95%CI) 90.9%(81.1%e100.0%) 89.1%(81.9%e96.,5.0,sens_spec
doi_10.1177_15209156251369886,Huhtinen P,2025,maybe,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_15209156251369886.pdf,Aireen,EfficientNet V2-based,CE,Optomed Aurora handheld fundus camera,55.0,3.0,85.0,8.0,0.948,0.914,,,151.0,"The Aireen AI algorithm demonstrated 94.8% sensitivity, 91.4% specificity, and 92.7% diagnostic accuracy for DR. Of the 151 patients assessed, the Aireen system evaluated 55 true positives, 8 false positives, 85 true negatives, and 3 false ",2.0,text
41611862.0,Hunfeld E,2026,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41611862.0.pdf,IDx-DR,nan,FDA,Topcon TRC-NW400 or Zeiss VISUCAM 500 (non-mydriatic),34.0,2.0,457.0,48.0,0.944,0.905,,0.0666,541.0,The highest sensitivity (94.4%) and specificity (90.5%) were achieved by IDx-DR in patients with severe DR after excluding patients with no image and images that were rated not analyzable by IDx-DR (Fig. 2a).,,text
Ipp et al. (2021),Ipp E,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Ipp et al. (2021).pdf,EyeArt,2.1.0,FDA,"Canon CR-2 AF or Canon CR-2 Plus AF, 2-field nonmydriatic color fundus photography (disc-centered and macula-centered)",273.0,13.0,1054.0,186.0,0.955,0.85,,0.1874,1526.0,"For mtmDR, the AI system detected 273 of 286 eyes identified as positive by the FPRC, for a sensitivity of 95.5% (95% CI, 92.4%-98.5%), and 1054 of 1240 eyes were identified as negative by the FPRC, for a specificity of 85.0%",5.0,text
38783384.0,Karabeg M,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/38783384.0.pdf,EyeArt,2.1.0,CE,"Eidon - True Color Confocal Scanner (CenterVue), non-mydriatic, 60° field",12.0,0.0,52.0,0.0,1.0,1.0,,0.188,64.0,The prevalence of DR and maculopathy were 18.8% (95% CI:9.1–28.3%) ... the sensitivity was 100% (95% CI: 73.5–100%) ... the specificity was 100% (95% CI: 93.1–100%),4.0,table|derived_2x2
40649184,Karabeg M,2025,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40649184.pdf,EyeArt,v2.1.0,FDA,"Zeiss CLARUS 700 (133° UWF, cropped to 45°) and iCare DRS Plus TrueColor confocal (45°×40°); non-mydriatic",,,,,0.897,0.83,0.863,0.117,247.0,"The sensitivity for detecting any type of DR was 94.0% (95% CI: 91.0-96.9), while for RDR, it was 89.7% (95% CI: 85.9-93.4). Specificity was 72.6% (95% CI: 67.0-78.1) for any type of DR and 83.0% (95% CI: 78.5-87.7) for RDR.",7.0,text
Kemp_2023,Kemp O,2023,maybe,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Kemp_2023.pdf,Medios AI,NM App V.2.0,CE,"Remidio Non-Mydriatic Fundus on Phone Camera, Model FOPNM-10 (smartphone-based)",207.0,60.0,293.0,27.0,0.775,0.915,0.84,0.455,587.0,"For all participants, including ungradable images, the AI system had a sensitivity of 77.5% and specificity of 91.5% compared with the field grader for detecting RDR. The AUC was 0.84 (table 2).",3.0,table
Kim_2020,Kim TN,2020,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Kim_2020.pdf,EyeArt,v2.0,CE,RetinaScope smartphone-based retinal camera (iPhone),47.0,7.0,11.0,3.0,0.87,0.786,,0.783,68.0,"le and EyeArtsystem easy-to-use smartphone-based imaging device capable of RWDR 47 3 87.0 78.6 capturing high-quality images of the retina [56, 57, 59]. In (74.5,94.2) (44.8,94.3) NoRWDR 7 11 this study, we evaluated the efficacy of handheld imaging with RetinaScope by non-ophthalmic personnel with auto- mat",5.0,all4_2x2
38738798,Kubin AM,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/38738798.pdf,"Pooled mean of 21 AI algorithms (labels A-U; vendors incl. AEYE Health, AIScreenings, Aurteen, iHealthScreen, Ophtai, Ophthalytics, Orbis, Reach-DR, Retmarker, Insight Eye, Thirona Retina, ULMA, VIDERAI, VITO)",nan,CE,"Optomed Aurora handheld non-mydriatic fundus camera, 50° field of view",,,,,0.775,0.806,,0.346,156.0,"The mean sensitivity of the algorithms was 77.5% (95% CI 69.1-85.8, range from 13.3% to 96.7%). The mean specificity was 80.6% (95% CI 72.1-89.2, range from 20.0% to 100.0%).",3.0,text
38738798,Kubin AM,2024,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/38738798.pdf,"Top 5 algorithms by Youden's index (A, H, M, N, Q) - pooled mean",nan,other,"Optomed Aurora handheld non-mydriatic fundus camera, 50° field of view",,,,,0.843,0.913,,0.346,156.0,"When only the top five algorithms (A, H, M, N and Q) ranked by Youden's index were analysed, the mean agreement on the non-referable/referable DR was 89.2% (median 89.3%), sensitivity 84.3% (median 85.0%) and specificity 91.3% (median 94.8%",4.0,text
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm A,nan,other,Topcon TRC-NW8,,,,,,0.9,,,735.0,"Algorithm A was the only one that achieved higher specificity (90.00% [88.89%, 91.11%], P = 2.14 x 10^-2) than the VA teleretinal graders.",4.0,text
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm B,nan,other,Topcon TRC-NW8,,,,,,,,,735.0,"In the full data set, sensitivity ranged from 50.98 to 85.90%, specificity from 60.42 to 83.69%, NPV from 82.72 to 93.69%, and PPV from 36.46 to 50.80%.",4.0,text
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm C,nan,other,Topcon TRC-NW8,,,,,,,,,735.0,"In moderate NPDR or worse, algorithms E, F, and G performed similarly to the VA teleretinal grader, whereas algorithms A-C had significantly lower sensitivities (P < 0.03).",4.0,text
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm D,nan,other,Topcon TRC-NW8,,,,,,,,,735.0,"In the full data set, sensitivity ranged from 50.98 to 85.90%, specificity from 60.42 to 83.69%, NPV from 82.72 to 93.69%, and PPV from 36.46 to 50.80%.",4.0,text
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm E,nan,other,Topcon TRC-NW8,,,,,0.9271,,,,735.0,"Algorithms E and F achieved higher sensitivities than the VA teleretinal graders (92.71% [91.75%, 93.67%], P = 1.25 x 10^-6, and 92.71% [91.75%, 93.67%], P = 7.29 x 10^-7, respectively) but were less specific.",4.0,text
doi_10.2337_dci21-0007,Lee A,2021,include,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,Algorithm F,nan,other,Topcon TRC-NW8,,,,,0.9271,,,,735.0,"Algorithms E and F achieved higher sensitivities than the VA teleretinal graders (92.71% [91.75%, 93.67%], P = 1.25 x 10^-6, and 92.71% [91.75%, 93.67%], P = 7.29 x 10^-7, respectively) but were less specific.",4.0,text
