study_id,first_author,year,ta_decision,ft_decision,ft_reason,extraction_status,pdf_url,country,study_design,sample_size_total,income_tier,healthcare_setting,dilation,reference_standard,diagnostic_criteria,title
Doan_2024,Doğan ME,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Doan_2024.pdf,Turkey,prospective,900.0,upper-middle,primary-care,mixed,"Consensus of 3 retina specialists (MED, YA, MB) grading 4 wide-field dilated fundus images per AAO Diabetic Retinopathy Preferred Practice Pattern",ICDR,Head to head comparison of diagnostic performance of three non-mydriatic cameras for diabetic retinopathy screening with artificial intelligence.
40925861.0,Duggal M,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40925861.0.pdf,India,prospective,343.0,lower-middle,primary-care,no,Two masked human graders (optometrist + retina-trained ophthalmologist) with adjudication by senior vitreoretinal specialist; final consensus-based arbitrated dataset served as RS,ICDR,Real-World Evaluation of AI-Driven Diabetic Retinopathy Screening in Public Health Settings: Validation and Implementation Study.
GonzlezGonzalo_2019,Gonzalez-Gonzalo C,2020,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/GonzlezGonzalo_2019.pdf,Multinational (Netherlands/Spain/Sweden/Denmark),retrospective,1800.0,high,mixed,mixed,DR-AMD set: single certified ophthalmologist (>12 years experience) graded ICDR stages 0-4; Messidor: original publicly-released RS by medical experts (stages 0-3); referable = stage >=2,ICDR,Evaluation of a deep learning system for the joint automated detection of diabetic retinopathy and age-related macular degeneration.
Grzybowski_Brona_2021,Grzybowski A,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_Brona_2021.pdf,Poland,retrospective,170.0,high,referral,no,Single ophthalmologist with basic experience in DR screening graded images before reviewing AI outputs; no adjudication,ICDR,Analysis and Comparison of Two Artificial Intelligence Diabetic Retinopathy Screening Algorithms in a Pilot Study: IDx-DR and Retinalyze.
Grzybowski_2023,Grzybowski A,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2023.pdf,Poland,retrospective,807.0,high,primary,non-mydriatic,"Consensus grading by three Polish retina specialists (362 patients) and three certified graders in India (491 patients), masked to AI output and to each other",ICDR,Diagnostic Accuracy of Automated Diabetic Retinopathy Image Assessment Softwares: IDx-DR and Medios Artificial Intelligence.
30765436,Grzybowski A,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/30765436.pdf,Poland,retrospective,758.0,high,primary-care,no,Majority decision of 3 graders (320 patients by 3 Polish retinal specialists; 438 patients by 3 Indian certified graders: 2 retina specialists + 1 optometrist); consensus image grading,ICDR,Diagnostic Accuracy of a Device for the Automated Detection of Diabetic Retinopathy in a Primary Care Setting.
Grzybowski_2025b,Grzybowski A,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski_2025b.pdf,Poland,retrospective,695.0,high,primary-care,no,"Majority consensus of three certified graders (Polish: 3 retina specialists for 320 patients; Indian: 2 retina specialists + 1 certified optometrist for 430 patients), masked to AI output",ICDR,Evaluating the efficacy of AI systems in diabetic retinopathy detection: A comparative analysis of Mona DR and IDx-DR.
Grzybowski et al. (2025),Grzybowski A,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Grzybowski et al. (2025).pdf,Poland,retrospective,758.0,high,primary-care,no,Majority decision of three graders (320 patients graded by three Polish retinal specialists; 438 patients graded by three Indian certified graders — two retina specialists and one optometrist),ICDR,Diagnostic Accuracy of Automated Diabetic Retinopathy Image Assessment Software: IDx-DR and RetCAD.
41257814.0,Guedes I,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41257814.0.pdf,Spain,cross-sectional,498.0,high,national-screening,no,Ophthalmologist grading based on ICDR scale (single ophthalmologist),ICDR,Evaluation of the degree of agreement in the diagnosis of diabetic retinopathy between ophthalmologists and EyeArt(®).
Heydon et al. (2021),Heydon P,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Heydon et al. (2021).pdf,United Kingdom,prospective,30405.0,high,national-screening,not-reported,NHS DESP human graders (primary/secondary/arbitration tertiary) following standard national protocol; final human grade in worst eye,NHS,Prospective evaluation of an artificial intelligence-enabled algorithm for automated diabetic retinopathy screening of 30 000 patients.
Hsieh_2021,Hsieh YT,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Hsieh_2021.pdf,Taiwan,retrospective,1875.0,high,tertiary,non-mydriatic,Two board-certified ophthalmologists with >=1 year retina fellowship graded independently; discordant cases adjudicated by a senior retina specialist with >=10 years experience,ICDR (International Clinical Diabetic Retinopathy Disease Severity Scale),Application of deep learning image assessment software VeriSee™ for diabetic retinopathy screening.
doi_10.1177_15209156251369886,Huhtinen P,2025,maybe,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1177_15209156251369886.pdf,Finland,prospective,156.0,high,mixed,yes,"Two retina specialists independently graded all images, blinded to each other and AI",ICDR,Real-World Evaluation of Artificial Intelligence-Based Diabetic Retinopathy Screening Using the Optomed Aurora Handheld Fundus Camera.
41611862.0,Hunfeld E,2026,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41611862.0.pdf,Germany,prospective,875.0,high,tertiary,no,Mydriatic binocular funduscopic examination by one of four trained ophthalmologists (≥7 years experience) from University Eye Hospital Greifswald; ophthalmologists graded into no/mild/moderate/severe DR mapped to ETDRS levels,ETDRS,Real-world performance of the AI diagnostic system IDx-DR in the diagnosis of diabetic retinopathy and its main confounders.
Ipp et al. (2021),Ipp E,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Ipp et al. (2021).pdf,USA,prospective,893.0,high,mixed,no,"Wisconsin Fundus Photograph Reading Center (FPRC): two ETDRS-certified graders of 4-wide-field stereoscopic dilated fundus photographs, with senior-grader adjudication",ETDRS,Pivotal Evaluation of an Artificial Intelligence System for Autonomous Detection of Referrable and Vision-Threatening Diabetic Retinopathy.
38783384.0,Karabeg M,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/38783384.0.pdf,Norway,cross-sectional,64.0,high,primary-care,no,Two experienced retina specialists (ophthalmologists) graded fundus images manually,ICDR,"A pilot cost-analysis study comparing AI-based EyeArt® and ophthalmologist assessment of diabetic retinopathy in minority women in Oslo, Norway."
40649184,Karabeg M,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/40649184.pdf,Norway,cross-sectional,247.0,high,mixed,no,"Manual consensus grading by multidisciplinary team (ophthalmologist, optometrist, ophthalmic nurses/certified graders)",ICDR,"Comparison of Validity and Reliability of Manual Consensus Grading vs. Automated AI Grading for Diabetic Retinopathy Screening in Oslo, Norway: A Cross-Sectional Pilot Study."
Kemp_2023,Kemp O,2023,maybe,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Kemp_2023.pdf,Dominica,prospective,587.0,upper-middle,primary-care,yes,Field grader (senior Dominican screener-grader certified by University of Gloucestershire); secondary comparator: senior remote graders from English National Screening Programme,ICDR,Real-world evaluation of smartphone-based artificial intelligence to screen for diabetic retinopathy in Dominica: a clinical validation study.
Kim_2020,Kim TN,2020,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Kim_2020.pdf,USA,prospective,69.0,high,tertiary,mydriatic,Dilated slit-lamp biomicroscopy by retina specialist and comprehensive ophthalmologist; ETDRS (modified Airlie House) severity grading,ETDRS (modified Airlie House); ICDR used by AI,Comparison of automated and expert human grading of diabetic retinopathy using smartphone-based retinal photography.
38738798,Kubin AM,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/38738798.pdf,Finland,prospective,156.0,high,mixed,no,Two experienced retina specialists graded fundus images using Finnish Current Care Guidelines 5-scale system; assumed correct as reference,"other (Finnish Current Care Guidelines 5-stage, ICDR-equivalent)",Comparison of 21 artificial intelligence algorithms in automated diabetic retinopathy screening using handheld fundus camera.
doi_10.2337_dci21-0007,Lee A,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_dci21-0007.pdf,USA,retrospective,23724.0,high,national-screening,mixed,"Double-masked arbitrated regrading by board-certified comprehensive ophthalmologist and two fellowship-trained retina specialists, with retina specialist arbitration of disagreements",ICDR,"Multicenter, Head-to-Head, Real-World Validation Study of Seven Automated Artificial Intelligence Diabetic Retinopathy Screening Systems. Diabetes Care 2021;44:XXXX-XXXX."
Lee_2021,Lee AY,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Lee_2021.pdf,USA,retrospective,23724.0,high,national-screening,mixed,VA-employed optometrists and ophthalmologists graded per ICDR; arbitrated subset re-graded by a comprehensive ophthalmologist and two fellowship-trained retina specialists with arbitration by a retina specialist,ICDR,"Multicenter, Head-to-Head, Real-World Validation Study of Seven Automated Artificial Intelligence Diabetic Retinopathy Screening Systems."
35881410,Li F,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35881410.pdf,China,prospective,1585.0,upper-middle,tertiary,no,Two certified ophthalmologists (6 and 10 years experience) at IRC graded independently; disagreements arbitrated by senior ophthalmologist with 19 years experience,other (China RDR classification standard; RDR positive if DR severity >= grade II moderate nonproliferative),A Multicenter Clinical Study of the Automated Fundus Screening Algorithm.
Li_2021b,Li Y-H,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Li_2021b.pdf,Taiwan,cross-sectional,1416.0,high,primary,mydriatic,Three ophthalmologists graded independently per ICDR; disagreements adjudicated by senior retinal specialist; only images with concordant grades from ≥2 ophthalmologists used as ground truth,ICDR,The Clinical Influence after Implementation of Convolutional Neural Network-Based Software for Diabetic Retinopathy Detection in the Primary Care Setting.
36345378.0,Lim JI,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/36345378.0.pdf,USA,prospective,521.0,high,regulatory-pivotal,mixed,Wisconsin Fundus Photograph Reading Center; 2 certified masked graders with senior-grader adjudication of 4-wide-field 45° stereoscopic dilated fundus photographs on the ETDRS severity scale,ETDRS,Artificial Intelligence Detection of Diabetic Retinopathy: Subgroup Comparison of the EyeArt System with Ophthalmologists' Dilated Examinations.
doi_10.1097_IAE.0000000000004826,Lin C-C,2026,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.1097_IAE.0000000000004826.pdf,Taiwan,cross-sectional,10013.0,high,mixed,yes,Two masked senior ophthalmology residents independently graded each image; disagreements adjudicated by a retinal specialist with >30 years experience (CKC); referral-warranted findings confirmed by one of two senior ophthalmologists with >15 years experience,ICDR,Real world practice of Artificial intelligence Diagnostic System for Diabetic Retinopathy in Taiwan.
Mehra_2022,Mehra A,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Mehra_2022.pdf,USA,retrospective,1052.0,high,primary,mixed,Manual image overread by ophthalmologist or optometrist with ≥2 years DR telemedicine experience; equivocal images adjudicated by retina specialist,ICDR (greater than mild NPDR),"Diabetic Retinopathy Telemedicine Outcomes With Artificial Intelligence-Based Image Analysis, Reflex Dilation, and Image Overread."
Meredith_2023,Meredith S,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Meredith_2023.pdf,United Kingdom,retrospective,9817.0,high,national-screening,not stated,English Diabetic Eye Screening Programme (DESP) manual grading by trained human graders following national UK protocol (features-based R grade),UK NSC DESP (mapped to ICDR),Performance of an artificial intelligence automated system for diabetic eye screening in a large English population.
33719599.0,Mokhashi N,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/33719599.0.pdf,USA,retrospective,260.0,high,primary-care,no,Temple Ophthalmology optometrist as gold standard; disagreements and 20% of agreements adjudicated by a retina specialist,ICDR,A Comparison of Artificial Intelligence and Human Diabetic Retinal Image Interpretation in an Urban Health System.
41399713,Moya-Sánchez EU,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41399713.pdf,Mexico,retrospective,1046.0,upper-middle,primary-care,mixed,Consensus (majority decision) of three Colegio de Oftalmólogos de Jalisco retina experts; 3 grades per image,ICDR,Design and validation of a responsible artificial intelligence-based system for the referral of diabetic retinopathy patients.
Musetti_2025,Musetti D,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Musetti_2025.pdf,Italy,cross-sectional,201.0,high,tertiary,mixed,Two masked retinal specialists graded images using ICDR scale; discordance resolved by consensus,ICDR,Autonomous artificial intelligence versus teleophthalmology for diabetic retinopathy.
34435963.0,Noriega A,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/34435963.0.pdf,Mexico,rct,100.0,upper-middle,tertiary,not-reported,"3 retina specialists from APEC ophthalmic hospital, majority rule adjudication",ICDR,Screening Diabetic Retinopathy Using an Automated Retinal Image Analysis System in Independent and Assistive Use Cases in Mexico: Randomized Controlled Trial.
Rio et al. (2022),Nunez do Rio JM,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rio et al. (2022).pdf,India,cross-sectional,20489.0,lower-middle,primary-care,no,Primary (on-site) and secondary (Reading Centre) graders (optometrist or ophthalmologist); senior ophthalmologists arbitrated discrepancies,ICDR,Evaluating a Deep Learning Diabetic Retinopathy Grading System Developed on Mydriatic Retinal Images When Applied to Non-Mydriatic Community Screening.
32376611.0,Olvera-Barrios A,2020,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32376611.0.pdf,United Kingdom,cross-sectional,1257.0,high,national-screening,yes,Human grading per English NDESP protocol; up to three levels of human graders producing a final consensus grade of the NDESP images,NHS,Diagnostic accuracy of diabetic retinopathy grading by an artificial intelligence-enabled algorithm compared with a human standard for wide-field true-colour confocal scanning and standard digital retinal images.
41248228,Parravano M,2026,maybe,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41248228.pdf,Italy,prospective,224.0,high,tertiary,mixed,"External Reading Center (InHealth Intelligence, Universal House, Middlewich) graded per NHS Diabetic Eye Screening Programme",NHS,"DRSPLUS RETINOGRAPHER IN PATIENTS WITH DIABETES: A Comparison Study by Consensus Grading, Reading Center, and Artificial Intelligence."
35080640.0,Paul S,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35080640.0.pdf,Germany,prospective,503.0,high,tertiary,mixed,"Ophthalmologist binocular fundoscopy in mydriasis (same week, masked to IDx-DR result)",ETDRS,[Use of artificial intelligence in screening for diabetic retinopathy at a tertiary diabetes center].
41814043.0,Pazo EE,2026,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/41814043.0.pdf,China,prospective,104.0,upper-middle,tertiary,mixed,Two fellowship-trained retina specialists independently graded images masked to AI predictions; discordant cases adjudicated by a third expert reviewer (consensus),ICDR,Validation of the Eyerobo FC Portable Fundus Camera for Diabetic Retinopathy Screening Using Public Datasets and Deep Learning.
Piatti_2023,Piatti A,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Piatti_2023.pdf,Italy,prospective,637.0,high,primary,non-mydriatic,Single ophthalmologist human grader using International Clinical Diabetic Retinopathy Severity Scale (ICDR),ICDR,Feasibility and accuracy of the screening for diabetic retinopathy using a fundus camera and an artificial intelligence pre-evaluation application.
Piatti_2024,Piatti A,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Piatti_2024.pdf,Italy,cross-sectional,506.0,high,primary,non-mydriatic,General ophthalmologist grading using ICDR severity scale (eye-level and patient-level),ICDR,Diabetic retinopathy screening with confocal fundus camera and artificial intelligence - assisted grading.
Poschkamp_2025,Poschkamp B,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Poschkamp_2025.pdf,Germany,prospective,1716.0,high,secondary,non-mydriatic,"Mydriatic funduscopic examination by one of six experienced ophthalmologists (mean 13.5 ± 8.6 years experience), graded per ETDRS classification, within a 7-day window after image acquisition",ETDRS,Customizing AI-based screening with real-world data: Practical insights from diabetic retinopathy.
36003071,Rao DP,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/36003071.pdf,India,retrospective,170.0,lower-middle,tertiary,yes,"Consensus image grading by two fellowship-trained vitreo-retinal specialists (MDS, PB) masked to each other; adjudicated grading for AI false positives",ICDR,Towards a Device Agnostic AI for Diabetic Retinopathy Screening: An External Validation Study.
39078960,Rao DP,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/39078960.pdf,Armenia,retrospective,478.0,upper-middle,primary-care,no,Consensus or majority grading of three expert graders (two fellowship-trained ophthalmologists and one certified optometrist); 53 no-consensus cases adjudicated by two senior retina specialists,ICDR,Evaluation of an AI algorithm trained on an ethnically diverse dataset to screen a previously unseen population for diabetic retinopathy.
Riotto et al. (2024),Riotto E,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Riotto et al. (2024).pdf,Switzerland,retrospective,1141.0,high,tertiary,not-reported,Two experienced retinal specialists graded independently; consensus discussion for discrepancies; fluorescein angiography in doubtful cases,ICDR,Accuracy of Autonomous Artificial Intelligence-Based Diabetic Retinopathy Screening in Real-Life Clinical Practice.
32382145,Rogers T,2021,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/32382145.pdf,Mexico,retrospective,5752.0,upper-middle,referral,mixed,Board-certified graders (SERI/Melbourne); ~10% second readings with third-reader adjudication on discrepancy (MAILOR); expert ICDR grading (IDRiD),other (Scottish DR grading for MAILOR; ICDR for IDRiD),Evaluation of an AI system for the detection of diabetic retinopathy from images captured with a handheld portable fundus camera: the MAILOR AI study.
Ruamviboonsuk_2019,Ruamviboonsuk P,2019,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Ruamviboonsuk_2019.pdf,Thailand,cross-sectional,25326.0,upper-middle,national-screening,not stated,Adjudicated grades by a panel of international retinal specialists,ICDR,Deep learning versus human graders for classifying diabetic retinopathy severity in a nationwide screening program.
35272972.0,Ruamviboonsuk P,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35272972.0.pdf,Thailand,prospective,7651.0,upper-middle,national-screening,mixed,Adjudication by panels of 3 US board-certified retina specialists (round-robin until consensus); masked to DLS and over-readers,ICDR,Real-time diabetic retinopathy screening by deep learning in a multisite national screening programme: a prospective interventional cohort study.
Rudnicka_2025,Rudnicka A,2025,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Rudnicka_2025.pdf,United Kingdom,cross-sectional,201438.0,high,national-screening,yes,"Final human grade in the worst eye by up to three trained human graders (primary, secondary, tertiary) per UK NSC standards in the NEL DESP",NHS,"Automated retinal image analysis systems to triage for grading of diabetic retinopathy: a large-scale, open-label, national screening programme in England."
Sarao_2020,Sarao V,2020,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Sarao_2020.pdf,Italy,cross-sectional,322.0,high,secondary,mydriatic,Two masked retina specialists graded fundus photographs independently; a third retina specialist adjudicated discrepancies (UK NHS severity scale),UK NSC (UK NHS screening programme),Automated diabetic retinopathy detection with two different retinal imaging devices using artificial intelligence: a comparison study.
35132211.0,Sedova A,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/35132211.0.pdf,Austria,prospective,54.0,high,tertiary,no,"Two retina specialists (AS, DH) graded 7F-mask area on UWF Optomap images per ETDRS-equivalent protocol, mapped to ICDR; worse eye per patient used",ICDR,Comparison of early diabetic retinopathy staging in asymptomatic patients between autonomous AI-based screening and human-graded ultra-widefield colour fundus images.
Sosale_2020b,Sosale B,2020,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Sosale_2020b.pdf,India,cross-sectional,900.0,lower-middle,tertiary,no,Five retina specialists (3 vitreoretinal surgeons + 2 medical retina specialists) graded independently using ICDR severity score; majority diagnosis considered ground truth,ICDR,"Simple, Mobile-based Artificial Intelligence Algorithm in the detection of Diabetic Retinopathy (SMART) study."
doi_10.2337_db19-51-OR,Sosale B,2020,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/doi_10.2337_db19-51-OR.pdf,India,cross-sectional,297.0,lower-middle,tertiary,yes,Two fellowship-trained vitreoretinal specialists graded anonymized images independently with consensus adjudication; worse-eye patient-level diagnosis,ICDR,Medios-a smartphone-based artificial intelligence algorithm in screening for diabetic retinopathy
Taylor_2024,Taylor J,2024,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Taylor_2024.pdf,Australia,retrospective,150.0,high,secondary,mixed,Two retinal specialists graded each image; third ophthalmologist arbitrated discrepancies,ICDR,Real-world evaluation of RetCAD deep-learning system for the detection of referable diabetic retinopathy and age-related macular degeneration.
37372815,Teoh CS,2023,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/37372815.pdf,Singapore,retrospective,200.0,high,tertiary,not-reported,"Three retinal specialists; majority agreement, senior specialist breaks ties",ICDR,Variability in Grading Diabetic Retinopathy Using Retinal Photography and Its Comparison with an Automated Deep Learning Diabetic Retinopathy Screening Software.
Tsai_2022,Tsai M-J,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tsai_2022.pdf,Taiwan,cross-sectional,1407.0,high,primary,non-mydriatic,Three board-certified ophthalmologists graded each image per ICDR scale; final diagnosis by majority voting,ICDR,Cross-Camera External Validation for Artificial Intelligence Software in Diagnosis of Diabetic Retinopathy.
Tufail et al. (2016),Tufail A,2016,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail et al. (2016).pdf,United Kingdom,retrospective,20258.0,high,national-screening,not-reported,Final NHS DESP manual grade modified by arbitration from Doheny Image Reading Centre,NHS,An observational study to assess if automated diabetic retinopathy image assessment software can replace one or more steps of manual imaging grading and to determine their cost-effectiveness.
Tufail_2017,Tufail A,2017,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Tufail_2017.pdf,United Kingdom,retrospective,20258.0,high,national-screening,mixed,"NHS DESP manual grading by accredited primary/secondary/arbitration graders, with discrepancies arbitrated by Doheny Image Reading Center","UK NSC / NHS DESP (R0-R3, M1)",Automated Diabetic Retinopathy Image Assessment Software: Diagnostic Accuracy and Cost-Effectiveness Compared with Human Graders.
Vaghefi et al. (2022),Vaghefi E,2022,include,nan,nan,extracted,/api/project/dr-ai-network-nma/file/04_fulltext/pdfs/Vaghefi et al. (2022).pdf,New Zealand,prospective,900.0,high,national-screening,mixed,Three senior specialists graded independently per NZ MoH standards; discrepancies adjudicated by a fourth independent senior retinal specialist to form aggregated ground truth,other (New Zealand MoH grading scheme aggregated to None/Mild/mtmDR/Sight-threatening; referable = mtmDR or Sight-threatening),A multi-centre prospective evaluation of THEIA™ to detect diabetic retinopathy (DR) and diabetic macular oedema (DMO) in the New Zealand screening program.
