id,Study,Year,PDF link,PDF path,type,tp,fn,fp,tn,n_pos,n_neg,Unit,Modality,Reference standard,Region,Validation type,Design (prospective),Vendor involvement,Glaucoma target,Glaucoma superclass,Age (glaucoma),Prevalence,AI algorithm,Source sheet
6,An (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/An (2019).pdf,04_fulltext/pdfs/An (2019).pdf,Random forest using 140 quantified OCT parameters,208,0,106,43,208,149,eye,combined,expert ophthalmologist,Asia,internal,cross-sectional,yes,confirmed,POAG,50.85,0.583,"Random Forest (10,000 trees) on commercial OCT-derived parameters",claude_pdf
7,An (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/An (2021).pdf,04_fulltext/pdfs/An (2021).pdf,DICNN (RNFL+GCIPL),83,10,3,60,93,63,eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,VGG16-based dual-input CNN,claude_pdf
7,An (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/An (2021).pdf,04_fulltext/pdfs/An (2021).pdf,VGG16 (RNFL),87,6,3,60,93,63,eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,VGG16 single-input (RNFL thickness map),claude_pdf
7,An (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/An (2021).pdf,04_fulltext/pdfs/An (2021).pdf,VGG16 (GCIPL),77,16,5,58,93,63,eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,VGG16 single-input (GCIPL thickness map),claude_pdf
7,An (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/An (2021).pdf,04_fulltext/pdfs/An (2021).pdf,Ensemble (VGG16 RNFL + VGG16 GCIPL fused output),81,12,2,61,93,63,eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,POAG,n/r,0.595,Fused-output ensemble of VGG16 RNFL and VGG16 GCIPL,claude_pdf
8,Asaoka (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Asaoka (2019).pdf,04_fulltext/pdfs/Asaoka (2019).pdf,Ensemble training deep learning model (NASNet-A),25,1,0,59,26,59,eye,OCT,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,normal-tension,62.5,0.305,"NASNet-A (large) bottleneck features + fully connected softmax classifier; ensemble of GCIPL thickness, GCIPL deviation, RNFL thickness, RNFL deviation maps",claude_pdf
9,Benhar (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Benhar (2022).pdf,04_fulltext/pdfs/Benhar (2022).pdf,SVM vessel-centroid (DRISHTI-DB),70,0,1,30,70,31,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,screening,POAG,n/r,0.69,SVM (RBF kernel) on vessel-centroid NRR/ISNT features,claude_pdf
10,Berdahl (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Berdahl (2021).pdf,04_fulltext/pdfs/Berdahl (2021).pdf,Laguna ONhE GDF + TCV (hybrid AI + perimetry),315,18,5,472,333,477,eye,fundus,structural+functional,Europe,internal,cross-sectional,yes,mixed,POAG,52.4,0.411,ResNet50-based Laguna ONhE GDF combined with perimetric threshold coefficient of variation (TCV),claude_pdf
11,Bhadoria (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhadoria (2021).pdf,04_fulltext/pdfs/Bhadoria (2021).pdf,ANN,67,3,1,69,70,70,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,"Artificial Neural Network (MLP, 20-12-2)",claude_pdf
11,Bhadoria (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhadoria (2021).pdf,04_fulltext/pdfs/Bhadoria (2021).pdf,SVM,69,1,3,67,70,70,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Support Vector Machine,claude_pdf
11,Bhadoria (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhadoria (2021).pdf,04_fulltext/pdfs/Bhadoria (2021).pdf,KNN,63,7,6,64,70,70,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,K-Nearest Neighbors,claude_pdf
11,Bhadoria (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhadoria (2021).pdf,04_fulltext/pdfs/Bhadoria (2021).pdf,Naive Bayes,67,3,4,66,70,70,image,fundus,other,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.5,Naive Bayes Classifier,claude_pdf
12,Bhatia (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Bhatia (2025).pdf,04_fulltext/pdfs/Bhatia (2025).pdf,SVM (CDR + stereo depth),242,8,4,246,250,250,image,fundus,combined criteria,North America,internal,retrospective,no,confirmed,unspecified,n/r,0.5,SVM with RBF kernel on CDR + disparity-based depth features,claude_pdf
13,Bhuiyan (2021),2021,projects/glaucoma-dl-dta-nma/pdfs/Bhuiyan (2021).pdf,04_fulltext/pdfs/Bhuiyan (2021).pdf,Ensemble DL (Xception+Inception-ResNet-V2+NasNet+Inception-V3) + Logistic Model Tree,149,37,68,384,186,452,image,fundus,combined criteria,mixed,external,cross-sectional,yes,screening,unspecified,n/r,0.291,"Ensemble of 5 CNNs (Xception x2, Inception-Resnet-V2, NasNet, Inception-V3) with Logistic Model Tree classifier",claude_pdf
14,Cao (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Cao (2023).pdf,04_fulltext/pdfs/Cao (2023).pdf,AI fundus screening system (Kangrui),36,19,38,544,55,582,image,fundus,expert ophthalmologist,Asia,external,cross-sectional,yes,referable,mixed,48.18,0.0863,transfer learning-based CNN (CFP),claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,MB-NN,945,78,139,1392,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,"Multi-branch neural network (CNN + CNN + FC, with domain knowledge features)",claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-LBP,638,385,608,923,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on rotation-invariant local binary pattern features,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-HOS,597,426,627,904,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on higher order spectra features,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-DWT,629,394,565,966,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on discrete wavelet transform features,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,LR-SIFT,635,388,620,911,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Logistic regression on scale-invariant feature transform features,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,AlexNet,759,264,363,1168,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,AlexNet CNN,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,VGG16,781,242,301,1230,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,VGG16 CNN,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,Inception_v3,795,228,335,1196,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Inception v3 CNN,claude_pdf
15,Chai (2018),2018,projects/glaucoma-dl-dta-nma/pdfs/Chai (2018).pdf,04_fulltext/pdfs/Chai (2018).pdf,CNN (Raghavendra et al.),729,294,458,1073,1023,1531,image,fundus,expert ophthalmologist,Asia,internal,retrospective,no,confirmed,unspecified,n/r,0.4006,Eighteen-layer CNN (Raghavendra 2018),claude_pdf
16,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,Automated System (cascade-forward neural network),121,48,41,104,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,"Cascade-forward neural network with topographic ONH features (CDR, cup/disc area ratio, PPA, RNFL defect, optic disc structural clustering, cup symmetry)",claude_pdf
16,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-A (glaucoma specialist, image-based grading)",117,52,22,123,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,,claude_pdf
16,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-B (glaucoma specialist, image-based grading)",127,42,28,117,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,,claude_pdf
16,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-C (glaucoma specialist, image-based grading)",118,51,21,124,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,,claude_pdf
16,Chakrabarty (2016),2016,projects/glaucoma-dl-dta-nma/pdfs/Chakrabarty (2016).pdf,04_fulltext/pdfs/Chakrabarty (2016).pdf,"Specialist-D (glaucoma specialist, image-based grading)",130,39,26,119,169,145,eye,fundus,expert ophthalmologist,Asia,external,cross-sectional,no,referable,unspecified,n/r,0.538,,claude_pdf
17,Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Original,92,16,17,214,108,231,image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,"EfficientNetV2-M (baseline, no preprocessing)",claude_pdf
17,Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Green Channel,86,22,15,216,108,231,image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M with green-channel extraction,claude_pdf
17,Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Preprocessing,102,6,39,192,108,231,image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M with green-channel + CLAHE + unsharp masking,claude_pdf
17,Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Segmentation,100,8,41,190,108,231,image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M classifier + DeepLabV3+ (MobileNet-V2) ROI segmentation,claude_pdf
17,Chen (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Chen (2025).pdf,04_fulltext/pdfs/Chen (2025).pdf,TVGH-Weighted,101,7,38,193,108,231,image,fundus,structural+functional,Asia,external,retrospective,no,confirmed,unspecified,n/r,0.366,EfficientNetV2-M classifier + DeepLabV3+ weighted ROI (50% down-weight outside ROI),claude_pdf
18,Cho (2024),2024,projects/glaucoma-dl-dta-nma/pdfs/Cho (2024).pdf,04_fulltext/pdfs/Cho (2024).pdf,Attention-based multi-input CNN (ResU-Net + Hough),70,2,10,62,72,72,image,fundus,expert ophthalmologist,Asia,internal,cross-sectional,no,confirmed,unspecified,n/r,0.5,CNN multi-input with attention (ResU-Net vessel + Hough optic disc + preprocessed fundus),claude_pdf
19,Christopher (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2022).pdf,04_fulltext/pdfs/Christopher (2022).pdf,3D CNN (Stanford test),390,63,53,188,453,241,image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),claude_pdf
19,Christopher (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2022).pdf,04_fulltext/pdfs/Christopher (2022).pdf,3D CNN (Hong Kong),700,259,180,486,959,666,image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),claude_pdf
19,Christopher (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2022).pdf,04_fulltext/pdfs/Christopher (2022).pdf,3D CNN (India),429,32,61,150,461,211,image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),claude_pdf
19,Christopher (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2022).pdf,04_fulltext/pdfs/Christopher (2022).pdf,3D CNN (Nepal),175,47,33,125,222,158,image,OCT,combined criteria,mixed,external,retrospective,yes,confirmed,unspecified,n/r,n/r,3D DenseNet-style CNN (De Fauw-like),claude_pdf
20,Christopher (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2026).pdf,04_fulltext/pdfs/Christopher (2026).pdf,RETFound CFP unimodal,1178,1328,81,1535,2506,1616,image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,"RETFound (SSL foundation model, ViT) fine-tuned on CFP",claude_pdf
20,Christopher (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2026).pdf,04_fulltext/pdfs/Christopher (2026).pdf,RETFound OCT unimodal,2256,1269,114,2158,3525,2272,image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,"RETFound (SSL foundation model, ViT) fine-tuned on OCT",claude_pdf
20,Christopher (2026),2026,projects/glaucoma-dl-dta-nma/pdfs/Christopher (2026).pdf,04_fulltext/pdfs/Christopher (2026).pdf,RETFound multimodal CFP+OCT,8170,3501,376,7149,11671,7525,image,combined,expert ophthalmologist,North America,internal,retrospective,no,confirmed,unspecified,60.3,0.608,RETFound multimodal (concatenated CFP+OCT feature embeddings with fully connected classifier),claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,VGG19 (transfer learning),108,16,50,405,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,VGG19 with ImageNet transfer learning + fine-tuning,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,VGG19 (full training),102,22,60,395,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,VGG19 trained from scratch,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,ResNet50 (transfer learning),114,10,91,364,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,ResNet50 with ImageNet transfer learning + fine-tuning,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,ResNet50 (full training),104,20,63,392,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,ResNet50 trained from scratch,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,GoogLeNet (transfer learning),104,20,83,372,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,GoogLeNet (Inception) with ImageNet transfer learning + fine-tuning,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,GoogLeNet (full training),105,19,58,397,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,GoogLeNet (Inception) trained from scratch,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,DENet Disc (transfer learning),97,27,41,414,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,DENet Disc (ResNet-based) with ORIGA pre-training + fine-tuning,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,DENet Disc (full training),98,26,113,342,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,DENet Disc trained from scratch,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,Standard CNN (custom 15-layer),98,26,59,396,124,455,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,Custom 15-layer CNN trained from scratch,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,Expert ophthalmologists (>5 yrs experience),123,37,188,1547,160,1735,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,,claude_pdf
21,Diaz-Pinto (2019),2019,projects/glaucoma-dl-dta-nma/pdfs/Diaz-Pinto (2019).pdf,04_fulltext/pdfs/Diaz-Pinto (2019).pdf,Non-expert ophthalmologists,94,66,242,1493,160,1735,image,fundus,expert ophthalmologist,Europe,internal,retrospective,no,screening,unspecified,n/r,0.214,,claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,VGG-16 Texture-based en face image,283,180,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,"VGG-16 CNN (single-modal, texture en face)",claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,VGG-16 RNFL thickness map,289,174,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,"VGG-16 CNN (single-modal, RNFL thickness map)",claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,VGG-16 SLO image,215,248,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,"VGG-16 CNN (single-modal, cSLO image)",claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,Multimodal VGG-16 Texture + RNFL,323,140,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (texture en face + RNFL thickness),claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,Multimodal VGG-16 RNFL + SLO,296,167,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (RNFL thickness + SLO),claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,Multimodal VGG-16 Texture + SLO,291,172,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (texture en face + SLO),claude_pdf
22,Dong (2023),2023,projects/glaucoma-dl-dta-nma/pdfs/Dong (2023).pdf,04_fulltext/pdfs/Dong (2023).pdf,Multimodal VGG-16 Texture + RNFL + SLO,329,134,6,124,463,130,eye,OCT,structural+functional,North America,internal,cross-sectional,no,confirmed,POAG,56.3,0.781,Multimodal VGG-16 CNN (texture en face + RNFL thickness + SLO),claude_pdf
23,Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (DRISHTI-GS1-R),513,0,67,433,513,500,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Xception + VGG-16 + Resnet-50 with SVM meta-classifier,claude_pdf
23,Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (ORIGA-R),368,142,110,615,510,725,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Googlenet + VGG-16 + VGG-19 with SVM meta-classifier,claude_pdf
23,Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (RIM-ONE2-R),275,25,34,346,300,380,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Resnet-50 + VGG-19 + Densenet-201 with SVM meta-classifier,claude_pdf
23,Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (ACRIMA-R),1180,10,2,928,1190,930,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Resnet-101 + Densenet-201 + Inception-v3 with SVM meta-classifier,claude_pdf
23,Elangovan (2022),2022,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2022).pdf,04_fulltext/pdfs/Elangovan (2022).pdf,En-ConvNet ensemble (LAG-R),1022,5,3,940,1027,943,image,fundus,expert ophthalmologist,mixed,internal,retrospective,no,confirmed,unspecified,n/r,n/r,Stacking ensemble of Resnet-18 + Resnet-101 + Densenet-201 with SVM meta-classifier,claude_pdf
24,Elangovan (2025),2025,projects/glaucoma-dl-dta-nma/pdfs/Elangovan (2025).pdf,04_fulltext/pdfs/Elangovan (2025).pdf,ViT + ResNet50,1034,90,262,1488,1124,1750,image,fundus,other,mixed,internal,retrospective,no,confirmed,unspecified,n/r,0.391,Vision Transformer + ResNet50 hybrid,claude_pdf
