study_id,study_label,year,journal,doi,pmid,study_design,setting,dataset,vendor,machine,dilation,age_summary,reference_standard,glaucoma_target,modalities_present,arm_count,extractable_arm_count,eligible_node_arm_count,validation_types,reference_types,units_present,regions_present,economic_groups_present,n_total,include_in_sr,include_in_ma,notes
ST122,Xu 2021,2021,BioMedical Engineering OnLine,10.1186/s12938-021-00877-5,,retrospective,multi-dataset,Two clinical datasets,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,China,UMIC,530,yes,yes,
ST123,Shi 2024,2024,BMJ Open Ophthalmology,10.1136/bmjophth-2023-001594,,prospective,screening,Screening cohort,,,,not reported,expert_adjudication,Glaucomatous optic neuropathy,fundus,2,2,2,"external, internal",expert adjudication,per-image,USA,HIC,1315,yes,yes,
ST124,Liu 2024,2024,Graefe's Archive,10.1007/s00417-023-06182-2,,retrospective,single-center,16000 fundus photos (2000 per disease),,,,not reported,clinical_diagnosis,Glaucoma (among 7 diseases),fundus,1,1,1,internal,clinical diagnosis,per-image,China,UMIC,800,yes,yes,
ST125,Li 2021,2021,British Journal of Ophthalmology,10.1136/bjophthalmol-2020-317327,,retrospective,multi-center,Ultra-widefield fundus,,,,not reported,expert_adjudication,GON,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,400,yes,yes,
ST126,Noury 2022,2022,Translational Vision Science & Technology,10.1167/tvst.11.5.11,,retrospective,multi-center (4 countries),Stanford+HongKong+India+Nepal,,,,glaucoma mean 45.3-69.8 across sites,clinical_diagnosis,Perimetric glaucoma,OCT,2,2,2,internal,clinical diagnosis,per-scan,mixed,mixed,866,yes,yes,
ST127,Kim 2020,2020,Journal of Clinical Medicine,10.3390/jcm9072167,,retrospective,multi-center,Samsung Medical Center + external,,,,control 54.0-55.9; glaucoma 58.4-59.1,expert_adjudication,POAG,OCT,3,3,3,external,expert adjudication,per-eye,South Korea,HIC,1052,yes,yes,
ST128,Upadhyaya 2025b,2025,Ophthalmology Glaucoma,10.1016/j.ogla.2024.09.002,,prospective,rural tele-ophthalmology,Vision Centers India,,,,not reported,expert_adjudication,Referable glaucoma,fundus,3,3,3,external,"expert adjudication, glaucoma specialist","per-eye, per-subject",India,LMIC,627,yes,yes,
ST129,Vali 2023,2023,American Journal of Ophthalmology,10.1016/j.ajo.2023.02.016,,retrospective,multi-center,Duke + Ramathibodi,,,,not reported,expert_adjudication,GON vs NGON,fundus,3,3,3,external,expert adjudication,per-image,USA,HIC,657,yes,yes,
ST130,Fu 2018,2018,IEEE Transactions on Medical Imaging,10.1109/TMI.2018.2837012,,retrospective,multi-dataset,"SCES (test, AUC 0.9183); SINDI (test, AUC 0.8173); ORIGA (training only)",,,,not reported,expert_adjudication,Glaucoma vs normal,fundus,1,1,1,internal,expert adjudication,per-image,China,UMIC,0,yes,yes,"FU2018_REVALIDATED_20260501: original CM (240/40/1280/120) inconsistent with paper. Paper reports DENet AUC 0.9183 on SCES (1676 imgs, 46 glaucoma) and 0.8173 on SINDI (5783 imgs, 113 glaucoma). Table"
ST131,Guo 2022,2022,Neural Computing and Applications,10.1007/s00521-022-07078-8,,retrospective,multi-dataset,Multi-racial fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,China,UMIC,700,yes,yes,
ST132,Civit-Masot 2020,2020,IEEE Access,10.1109/access.2020.3008539,,retrospective,multi-dataset,Public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,450,yes,yes,
ST133,Sun 2021,2021,British Journal of Ophthalmology,10.1136/bjophthalmol-2020-316274,,retrospective,single-center,Clinical OCT,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,internal,clinical diagnosis,per-eye,China,UMIC,306,yes,yes,
ST134,Xu 2024,2024,Current Eye Research,10.1080/02713683.2024.2375401,,retrospective,single-center,"327 healthy, 87 GON",,,,not reported,clinical_diagnosis,GON,fundus+OCT,1,1,1,internal,clinical diagnosis,per-eye,China,UMIC,1246,yes,yes,
ST135,Christopher 2020,2020,Translational Vision Science & Technology,10.1167/tvst.9.2.27,,retrospective,multi-center,UCSD + Columbia,,,,not reported,expert_adjudication,Glaucoma vs normal,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,1000,yes,yes,
ST136,Yang 2020,2020,American Journal of Ophthalmology,10.1016/j.ajo.2020.03.035,,retrospective,multi-center,Multi-center fundus,,,,not reported,expert_adjudication,GON vs NGON,fundus,1,1,1,external,expert adjudication,per-image,South Korea,HIC,146,yes,yes,
ST137,Shibata 2018,2018,Ophthalmology,10.1016/j.ophtha.2018.01.023,,retrospective,multi-center,Large multi-ethnic dataset,,,,not reported,expert_adjudication,GON,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,5500,yes,yes,
ST138,Surya 2023,2023,Indian Journal of Ophthalmology,10.4103/IJO.IJO_11_23,,prospective,clinical,1085 patients,,,,not reported,expert_adjudication,Glaucoma,fundus,1,1,1,external,expert adjudication,per-patient,USA,HIC,1085,yes,yes,
ST139,Sanghavi 2024,2024,Biomedical Signal Processing and Control,10.1016/j.bspc.2023.105770,,retrospective,multi-dataset,Public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,600,yes,yes,
ST140,Krishnaadithya 2021,2021,Journal of Imaging,10.3390/jimaging7060092,,retrospective,multi-dataset,"ACRIMA, RIM-ONE",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,705,yes,yes,
ST141,Singh 2021,2021,Medical & Biological Engineering & Computing,10.1007/s11517-020-02307-5,,retrospective,multi-dataset,Public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST142,David 2023,2021,Journal of Ambient Intelligence and Humanized Computing,10.1007/s12652-021-03467-4,,retrospective,multi-dataset,Public datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,400,yes,yes,
ST143,Sivakumar 2025,2025,Engineering Applications of AI,10.1016/j.engappai.2025.110010,,retrospective,multi-dataset,2874 cases,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,2874,yes,yes,
ST145,Pandey 2024,2024,British Journal of Ophthalmology,10.1136/bjo-2022-322183,,prospective,clinical,Clinical fundus,,,,not reported,expert_adjudication,Glaucoma vs normal,fundus,2,2,2,external,expert adjudication,per-image,Taiwan,HIC,600,yes,yes,
ST146,Senthil 2025,2025,PLOS ONE,10.1371/journal.pone.0324883,,prospective,clinical,LV Prasad Eye Institute,,,,Mean 55±14.7,expert_adjudication,Definite glaucoma,fundus,1,1,1,external,glaucoma specialist,per-subject,India,LMIC,180,yes,yes,
ST147,Alryalat 2024,2024,Frontiers in Ophthalmology,10.3389/fopht.2024.1387190,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,200,yes,yes,
ST148,Elangovan 2022,2022,Int J Imaging Systems and Technology,10.1002/ima.22761,,retrospective,multi-dataset,"DRISHTI-GS1, ACRIMA, etc",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,706,yes,yes,
ST149,Rao 2024,2024,Eye,10.1038/s41433-023-02826-z,,prospective,tertiary glaucoma centre,243 subjects India,,,,Mean 59±12,expert_adjudication,Referable glaucoma,fundus,2,2,2,external,glaucoma specialist,per-subject,India,LMIC,486,yes,yes,
ST150,Al-Aswad 2019,2019,Journal of Glaucoma,10.1097/IJG.0000000000001319,,retrospective,clinical,Clinical fundus,,,,Range 40-79,expert_adjudication,GON,fundus,2,2,2,external,expert adjudication,per-image,Singapore,HIC,596,yes,yes,
ST151,Deperlioglu 2022,2022,Future Generation Computer Systems,10.1016/j.future.2021.11.018,,retrospective,multi-dataset,"ORIGA-Light, DRISHTI",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,530,yes,yes,
ST152,Oh 2021,2021,Diagnostics,10.3390/diagnostics11030510,,retrospective,single-center,Clinical OCT parameters,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,internal,clinical diagnosis,per-eye,South Korea,HIC,370,yes,yes,
ST153,Alasmari 2025,2025,Diagnostics,10.3390/diagnostics15182301,,retrospective,multi-dataset,"REFUGE, ORIGA, G1020",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,mixed,mixed,400,yes,yes,
ST154,Chang 2021,2021,Ophthalmology,10.1016/j.opatha.2020.06.036,,retrospective,multi-dataset,Multi-center fundus,,,,not reported,expert_adjudication,Referable glaucoma,fundus,1,1,1,internal,expert adjudication,per-image,Germany,HIC,1200,yes,yes,
ST155,Haider 2023,2023,Applied Soft Computing,10.1016/j.asoc.2022.109918,,retrospective,multi-dataset,"RIM-ONE, ORIGA, DRISHTI",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,290,yes,yes,
ST156,Mrad 2022,2022,IRBM,10.1016/j.irbm.2021.06.004,,retrospective,clinical,50 normal + 60 glaucoma,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,Taiwan,HIC,110,yes,yes,
ST157,Medeiros 2019,2019,Ophthalmology,10.1016/j.ophtha.2018.12.033,,retrospective,clinical,2312 eyes 1198 participants,,,,not reported,structural_functional,Glaucomatous VF loss,fundus,1,1,1,internal,VF + OCT,per-scan,USA,HIC,6292,yes,yes,
ST158,Gonzalez-Hernandez 2021,2021,Journal of Clinical Medicine,10.3390/jcm10153231,,retrospective,multi-center,477 normal + 333 glaucoma,,,,not reported,clinical_diagnosis,Glaucoma (confirmed+suspected),fundus,1,1,1,internal,clinical diagnosis,per-eye,Spain,HIC,712,yes,yes,
ST159,Juneja 2022,2022,Expert Systems With Applications,10.1016/j.eswa.2022.117202,,retrospective,multi-dataset,1110 OCT volumes,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,internal,clinical diagnosis,per-volume,India,LMIC,1110,yes,yes,
ST160,Juneja 2020,2020,Machine Vision and Applications,10.1007/s00138-020-01091-4,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,300,yes,yes,
ST161,Chaurasia 2025,2025,Eye,10.1038/s41433-024-03388-4,,retrospective,multi-dataset (20 databases),4430 glaucomatous + 2047 healthy discs,,,,not reported,expert_adjudication,Glaucomatous disc,fundus,1,1,1,external,expert adjudication,per-image,India,LMIC,6477,yes,yes,
ST162,Hemelings 2023,2023,npj Digital Medicine,10.1038/s41746-023-00857-0,,retrospective,population-based,BMES + GHS cohorts,,,,Range 40-80,clinical_diagnosis,Glaucoma,fundus,1,1,1,external,clinical diagnosis,per-participant,South Korea,HIC,3150,yes,yes,
ST163,Bisneto 2020,2020,Applied Soft Computing,10.1016/j.asoc.2020.106165,,retrospective,multi-dataset,Public datasets + GAN augmented,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,200,yes,yes,
ST164,Gaddipati 2021,2022,ACM Computing Surveys,10.1145/3470979,,retrospective,multi-dataset,4 public + 2 private,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,external,dataset label,per-image,USA,HIC,500,yes,yes,
ST165,Chang 2021b,2021,Biomedical Optics Express,10.1364/boe.439991,,retrospective,single-center,En face macular OCT,,,,not reported,clinical_diagnosis,Glaucoma vs healthy,OCT,1,1,1,internal,clinical diagnosis,per-eye,Germany,HIC,300,yes,yes,
ST166,Garcia-Lopez 2026,2026,Network Modeling Analysis in Health Informatics,10.1007/s13721-025-00719-7,,retrospective,multi-dataset,CFP + OCT datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus+OCT,1,1,1,internal,dataset label,per-image,UK,HIC,400,yes,yes,
ST168,Maetschke 2021,2021,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2020.105855,,retrospective,clinical,176 healthy + 144 glaucoma,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,external,clinical diagnosis,per-volume,China,UMIC,320,yes,yes,
ST169,Liu 2024,2024,Biomedical Optics Express,10.1364/BOE.512138,,retrospective,single-center,Multi-scan OCT dataset,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,internal,clinical diagnosis,per-eye,China,UMIC,400,yes,yes,
ST170,Chang 2023,2023,Applied Sciences,10.3390/app13042195,,retrospective,single-center,Clinical fundus + GAN,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,Taiwan,HIC,400,yes,yes,
ST171,Mansour 2021,2021,Multidimensional Systems and Signal Processing,10.1007/s11045-021-00781-0,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,USA,HIC,400,yes,yes,
ST172,Chai 2018,2018,Knowledge-Based Systems,10.1016/j.knosys.2018.07.043,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,China,UMIC,350,yes,yes,
ST173,Akter 2022,2022,Scientific Reports,10.1038/s41598-022-12147-y,,retrospective,single-center,100 glaucoma + 100 control,,,,not reported,clinical_diagnosis,Glaucoma vs normal,OCT,1,1,1,internal,clinical diagnosis,per-eye,Australia,HIC,200,yes,yes,
ST174,An 2019,2019,Journal of Healthcare Engineering,10.1155/2019/4061313,,retrospective,clinical,208 glaucoma + controls,,,,healthy 49.8±15.9; glaucoma 51.6±11.9,clinical_diagnosis,Glaucoma vs normal,fundus+OCT,1,1,1,internal,clinical diagnosis,per-eye,Japan,HIC,408,yes,yes,
ST175,Omar 2021,2021,Health Informatics Journal,10.1177/14604582211009276,,retrospective,clinical,202 non-glaucoma + 297 glaucoma,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,USA,HIC,499,yes,yes,
ST176,Krishnaadithya 2021,2020,IET Image Processing,10.1049/ipr2.12063,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,Taiwan,HIC,400,yes,yes,
ST177,Xu (2021)b,2021,npj Digital Medicine,10.1038/s41746-021-00417-4,,retrospective,multi-center,Small sample fundus,,,,not reported,expert_adjudication,Glaucoma,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,300,yes,yes,
ST179,Jammal 2020,2020,American Journal of Ophthalmology,10.1016/j.ajo.2019.11.006,,retrospective,population screening,Large screening dataset,,,,not reported,expert_adjudication,GON,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,3300,yes,yes,
ST180,Eswari 2024,2024,Journal of International Medical Research,10.1177/03000605241271766,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,China,UMIC,400,yes,yes,
ST181,Hussein 2026,2026,Journal of Radiation Research and Applied Sciences,10.1016/j.jrras.2026.102288,,retrospective,multi-dataset,"ORIGA, REFUGE, G1020",,,,not reported,dataset_label,Glaucoma,fundus,1,1,1,internal,dataset label,per-image,Egypt,LMIC,600,yes,yes,
ST182,Muhammad 2017,2017,Journal of Glaucoma,10.1097/ijg.0000000000000765,,retrospective,clinical,57 glaucoma + 45 healthy OCT,,,,not reported,expert_adjudication,Glaucoma suspects,OCT,2,2,2,internal,expert adjudication,per-eye,Japan,HIC,204,yes,yes,
ST183,Ajesh 2020,2020,Int J Imaging Systems and Technology,10.1002/ima.22435,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,400,yes,yes,
ST184,Aljohani 2024,2024,BMC Medical Informatics,10.1186/s12911-024-02518-y,,retrospective,multi-dataset,"ACRIMA, G1020, ORIGA, REFUGE",,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,mixed,mixed,400,yes,yes,
ST185,Sharma 2025,2025,npj Digital Medicine,10.1038/s41746-025-01473-w,,prospective,multi-center,Large screening dataset,,,,not reported,expert_adjudication,Glaucoma screening,fundus,1,1,1,external,expert adjudication,per-image,USA,HIC,3300,yes,yes,
ST186,Sujithra 2024,2023,Multimedia Tools and Applications,10.1007/s11042-023-17506-z,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,India,LMIC,400,yes,yes,
ST187,Leonardo 2022,2022,IEEE Access,10.1109/access.2022.3215126,,retrospective,multi-dataset,Public fundus datasets + GAN augmented,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,not specified,not specified,400,yes,yes,
ST188,Shehryar 2020,2020,Int J Imaging Systems and Technology,10.1002/ima.22413,,retrospective,clinical,Fundus + SD-OCT correlation,,,,not reported,clinical_diagnosis,Glaucoma vs normal,fundus+OCT,1,1,1,internal,clinical diagnosis,per-eye,USA,HIC,614,yes,yes,
ST189,Sanchez-Morales 2022,2022,Diagnostics,10.3390/diagnostics12061382,,retrospective,multi-dataset,Public fundus datasets,,,,not reported,dataset_label,Glaucoma vs normal,fundus,1,1,1,internal,dataset label,per-image,Spain,HIC,400,yes,yes,
ST190,Atalay 2022,2022,Turkish Journal of Ophthalmology,10.4274/tjo.galenos.2021.29726,,retrospective,clinical,238 normal + 320 glaucoma,,,,Range 40-80,clinical_diagnosis,Glaucoma vs normal,fundus,1,1,1,internal,clinical diagnosis,per-image,Japan,HIC,558,yes,yes,
