record_id,study_id,year,arm_id,analysis_node,analysis_node_label,outcome_family,quantitative_outcome_slot,analysis_measure,reported_pct,analysis_pct,events_reported,events_analysis,total,timepoint_years,timepoint_type,direction,derivation_note,source_page_or_table,source_evidence
SCR00062,Kim 2025,2025,arm_sabr,Photon_SRS_FSRT,Photon SRS/FSRT,secondary_enucleation,secondary_5y_eye_retention,5y_eye_retention_success,24.2,75.8,14.0,49,64,5.0,kaplan_meier,higher_worse,converted_from_secondary_enucleation,Page 3 and Figure 2,"In the PSM cohort, 14 SABR patients underwent enucleation; 5-year cumulative incidence 24.2%."
SCR00119,Zako 2025,2025,arm_pbrt,PBT,Proton beam,local_control,primary_5y_local_control,5y_local_control_success,96.0,96.0,,230,240,5.0,kaplan_meier,higher_better,reported_local_control,Page 5 and Figure 1,The PBRT cohort had 5-year LC of 96% (92-98%).
SCR00119,Zako 2025,2025,arm_pbrt,PBT,Proton beam,eye_retention,secondary_5y_eye_retention,5y_eye_retention_success,85.0,85.0,,204,240,5.0,kaplan_meier,higher_better,reported_eye_retention,Page 6,The 5-year and 10-year eye preservation in the PBRT cohort was 85% (95% CI 79-89%) and 83%.
SCR00119,Zako 2025,2025,arm_pbrt,PBT,Proton beam,metastasis_free_survival,secondary_5y_metastasis_free_survival,5y_metastasis_free_survival,87.0,87.0,,209,240,5.0,kaplan_meier,higher_better,reported_survival,Page 8,"The 5-, 10-, and 15-year DM-free rates in the PBRT cohort were 87% (95% CI 82-91%), 81%, and 73%."
SCR00119,Zako 2025,2025,arm_pbrt,PBT,Proton beam,overall_survival,secondary_5y_overall_survival,5y_overall_survival,90.0,90.0,,216,240,5.0,kaplan_meier,higher_better,reported_survival,Page 8,"The 5-, 10-, and 15-year OS rates were 90% (95% CI 85-94%), 84%, and 76%."
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,local_recurrence,primary_5y_local_recurrence,5y_local_control_success,10.0,90.0,33.0,213,237,5.0,kaplan_meier,higher_worse,converted_from_local_recurrence,Pages 3-4 and Figure 1,Tumor recurrence was noted in 33 patients. Kaplan-Meier estimate of local recurrence was 10% at 5 years.
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,eye_retention,secondary_5y_eye_retention,5y_eye_retention_success,88.7,88.7,,210,237,5.0,kaplan_meier,higher_better,reported_eye_retention,Page 4 and Figure 1,Kaplan-Meier estimate of an enucleation event was 11.3% at 5 years.
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,secondary_enucleation,secondary_5y_enucleation,5y_enucleation,11.3,11.3,29.0,27,237,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 4 and Figure 1,Enucleation was performed in 29 patients. The Kaplan-Meier estimate of an enucleation event was 11.3% at 5 years.
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,metastasis,secondary_5y_metastasis,5y_metastasis,6.7,6.7,25.0,16,237,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 4 and Figure 1,Metastasis occurred in 25 patients. Kaplan-Meier estimate was 6.7% at 5 years.
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,46.0,46.0,109.0,109,237,,crude_at_followup,higher_worse,reported_event_rate,Page 5,"Radiation retinopathy and optic neuropathy were seen in 54.9% and 46%, respectively."
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,other,secondary_complications,complication_other,54.9,54.9,130.0,130,237,,crude_at_followup,higher_worse,reported_event_rate,Page 5,More than half of the patients developed radiation retinopathy (n = 130).
SCR00155,Kornblau 2025,2025,arm_i125,I125_plaque,I-125 plaque,cataract_surgery,secondary_complications,complication_cataract_surgery,21.1,21.1,50.0,50,237,,crude_at_followup,higher_worse,reported_event_rate,Page 5,Other observed complications included cataracts (n = 77). Fifty patients underwent cataract extraction.
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,local_control,primary_5y_local_control,5y_local_control_success,92.0,92.0,,661,719,5.0,kaplan_meier,higher_better,reported_local_control,Pages 3 and 5,"In the complete cohort, the 5-year local failure rate was 8%; discussion states local control (92%)."
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,eye_retention,secondary_5y_eye_retention,5y_eye_retention_success,95.0,95.0,,683,719,5.0,kaplan_meier,higher_better,reported_eye_retention,Page 1 Abstract and Page 3,"Five-year overall survival, eye retention and local failure rates were 83%, 95%, and 8%, respectively."
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,overall_survival,secondary_5y_overall_survival,5y_overall_survival,83.0,83.0,,597,719,5.0,kaplan_meier,higher_better,reported_survival,Page 3,5-year overall survival was 83% (95% C.I. 80%-85%).
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,metastasis,secondary_5y_metastasis,5y_metastasis,12.0,12.0,92.0,86,719,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 3,5-year probability of metastasis was 12% (95% C.I. 9%-14%); 92 patients developed metastases.
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,32.0,32.0,,230,719,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 3,The 5-year actuarial estimate of lasting VA below 0.1 was 32% (95% C.I. 28%-36%).
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,35.3,35.3,254.0,254,719,,crude_at_followup,higher_worse,reported_event_rate,Page 3 and Table 3,"Maculopathy occurred in 46 patients at baseline, and in 254 (35%) patients during follow-up."
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,11.1,11.1,80.0,80,719,,crude_at_followup,higher_worse,reported_event_rate,Page 3 and Table 3,Optic nerve disorder was reported in 80 (11%) patients.
SCR00170,Pors 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,cataract_surgery,secondary_complications,complication_cataract_surgery,20.1,20.1,122.0,122,606,,crude_at_followup,higher_worse,reported_event_rate,Page 3 and Table 3,"Cataract before treatment increased during follow-up, leading to cataract surgery in 122 (20%) patients."
SCR00193,Gallo 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,13.2,13.2,77.0,41,310,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 2 and Table 3,Kaplan-Meier estimates of poor final VA (>=1.0 logMAR) were 13.2% at 5 years.
SCR00193,Gallo 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,31.7,31.7,90.0,98,310,5.0,kaplan_meier,higher_worse,reported_event_rate,Table 3,Radiation maculopathy 77/103 at 5 years: 31.7% (95% CI 26.1 to 38.2).
SCR00193,Gallo 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,other,secondary_complications,complication_other,19.6,19.6,50.0,61,310,5.0,kaplan_meier,higher_worse,reported_event_rate,Table 3,Non-proliferative radiation retinopathy at 5 years 19.6% (95% CI 14.9 to 25.6).
SCR00193,Gallo 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,8.5,8.5,22.0,26,310,5.0,kaplan_meier,higher_worse,reported_event_rate,Table 3,Radiation optic neuropathy at 5 years 8.5% (95% CI 5.5 to 13).
SCR00193,Gallo 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,0.0,0.0,0.0,0,310,,crude_at_followup,higher_worse,reported_event_rate,Page 4,There were no cases of neovascular glaucoma and scleral necrosis.
SCR00201,Grajewski 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,17.9,17.9,10.0,10,56,,crude_at_followup,higher_worse,reported_event_rate,Page 5,Radiation maculopathy in 10 patients (17.9%).
SCR00201,Grajewski 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,12.5,12.5,7.0,7,56,,crude_at_followup,higher_worse,reported_event_rate,Page 5,Radiation optic neuropathy in 7 patients.
SCR00201,Grajewski 2025,2025,arm_ru106,Ru106_plaque,Ru-106 plaque,other,secondary_complications,complication_other,12.5,12.5,7.0,7,56,,crude_at_followup,higher_worse,reported_event_rate,Page 5,Radiation retinopathy was detected in 7 eyes.
SCR00224,Aoki 2025,2025,arm_cirt,CIRT,Carbon ion,local_control,primary_5y_local_control,5y_local_control_success,94.4,94.4,,236,250,5.0,kaplan_meier,higher_better,reported_local_control,Page 4,LC rates at 5-year and 8-year were 94.4% and 92.9%
SCR00224,Aoki 2025,2025,arm_cirt,CIRT,Carbon ion,overall_survival,secondary_5y_overall_survival,5y_overall_survival,87.5,87.5,,219,250,5.0,kaplan_meier,higher_better,reported_survival,Page 3,5-year and 8-year overall survival rates were 87.5% and 84.2%
SCR00224,Aoki 2025,2025,arm_cirt,CIRT,Carbon ion,metastasis_free_survival,secondary_5y_metastasis_free_survival,5y_metastasis_free_survival,79.8,79.8,,200,250,5.0,kaplan_meier,higher_better,reported_survival,Page 4,5-year and 8-year distant metastasis-free rates were 79.8% and 72.9%
SCR00224,Aoki 2025,2025,arm_cirt,CIRT,Carbon ion,eye_retention,secondary_5y_eye_retention,5y_eye_retention_success,93.2,93.2,,233,250,5.0,actuarial,higher_better,reported_eye_retention,Page 6/Table 3,Current CIRT row lists 5y-EPR 93.2
SCR00250,Gallo 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,local_recurrence,primary_5y_local_recurrence,5y_local_control_success,17.0,83.0,,257,310,5.0,kaplan_meier,higher_worse,converted_from_local_recurrence,Pages 3 and 5/Table 3,Kaplan-Meier estimates of tumour recurrence were 17% at 5 years
SCR00250,Gallo 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,secondary_enucleation,secondary_5y_secondary_enucleation,5y_enucleation,2.0,2.0,,6,310,5.0,kaplan_meier,higher_worse,reported_event_rate,Pages 3 and 5/Table 3,5-year and 10-year secondary enucleation rates were 2% and 11%
SCR00250,Gallo 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,metastasis,secondary_5y_metastasis,5y_metastasis,4.8,4.8,,15,310,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 5/Table 3,Melanoma-related metastasis 5 years 4.8%
SCR00250,Gallo 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,overall_survival,secondary_5y_overall_survival,5y_overall_survival,98.0,98.0,,304,310,5.0,kaplan_meier,higher_better,reported_survival,Pages 1 and 5/Table 3,survival was 98% at 5 years
SCR00250,Gallo 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,melanoma_specific_survival,secondary_5y_melanoma_specific_survival,5y_melanoma_specific_survival,98.0,98.0,,304,310,5.0,kaplan_meier,higher_better,reported_survival,Page 5/Table 3,Melanoma-related death 5 years 2%
SCR00259,Phillips 2024,2024,arm_photon_fsrt,Photon_SRS_FSRT,Photon SRS/FSRT,metastasis_free_survival,secondary_5y_metastasis_free_survival,5y_metastasis_free_survival,88.0,88.0,,18,20,5.0,kaplan_meier,higher_better,reported_survival,Pages 1 and 3,5yMFS was 88% (95% CI: 61-97)
SCR00259,Phillips 2024,2024,arm_photon_fsrt,Photon_SRS_FSRT,Photon SRS/FSRT,local_control,primary_5y_local_control,5y_local_control_success,85.0,85.0,,17,20,5.0,kaplan_meier,higher_better,reported_local_control,Page 3,"tumour has progressed in three eyes (5yFFLP: 85%, 95% CI: 60-96)"
SCR00292,Riazi-Esfahani 2024,2024,overall,mixed,Mixed/unclear,overall_survival,secondary_5y_overall_survival,5y_overall_survival,94.7,94.7,,155,164,5.0,kaplan_meier,higher_better,reported_survival,Page 5,five-year OS rates were 0.947 +/- 0.019
SCR00321,Gill 2024,2024,arm_mixed_plaque,mixed,Mixed/unclear,cataract_surgery,secondary_complications,complication_cataract_surgery,27.0,27.0,,252,933,12.0,actuarial,higher_worse,reported_event_rate,Pages 1 and 7,12-year incidence of cataract surgery ... 27% (95% CI 23-31%)
SCR00321,Gill 2024,2024,arm_i125,I125_plaque,I-125 plaque,cataract_surgery,secondary_complications,complication_cataract_surgery,40.0,40.0,,,,12.0,actuarial,higher_worse,reported_event_rate,Page 5,12-year competing risk incidence ... Iodine-125 ... 40% (95% CI 34-47%)
SCR00321,Gill 2024,2024,arm_ru106,Ru106_plaque,Ru-106 plaque,cataract_surgery,secondary_complications,complication_cataract_surgery,21.0,21.0,,,,12.0,actuarial,higher_worse,reported_event_rate,Page 5,12-year incidence of 21% for patients treated with Ruthenium-106
SCR00328,Wu 2023,2023,arm_pbt,PBT,Proton beam,overall_survival,secondary_5y_overall_survival,5y_overall_survival,94.2,94.2,,209,222,5.0,kaplan_meier,higher_better,reported_survival,Page 3,all-cause mortality rate was 5.8% at 5 years
SCR00328,Wu 2023,2023,arm_pbt,PBT,Proton beam,melanoma_specific_survival,secondary_5y_melanoma_specific_survival,5y_melanoma_specific_survival,99.5,99.5,,221,222,5.0,kaplan_meier,higher_better,reported_survival,Page 3,melanoma-related mortality rate was 0.5% at 5 years
SCR00328,Wu 2023,2023,arm_pbt,PBT,Proton beam,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,4.5,4.5,10.0,10,222,,crude_at_followup,higher_worse,reported_event_rate,Page 3,NVG was present in 10 patients (4.5%)
SCR00338,Miguel 2023,2023,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,2.0,2.0,,1,61,5.0,kaplan_meier,higher_better,reported_event_rate,Page 4 and Figure 2,Blind subgroup 5 years 2% (95% CI 0-5%)
SCR00338,Miguel 2023,2023,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,17.0,17.0,,12,73,5.0,kaplan_meier,higher_better,reported_event_rate,Page 4 and Figure 2,Low-medium subgroup 5 years 17% (95% CI 7-27%)
SCR00338,Miguel 2023,2023,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,29.0,29.0,,25,85,5.0,kaplan_meier,higher_better,reported_event_rate,Page 5 and Figure 2,Medium-high subgroup 5 years 29% (95% CI 15-42%)
SCR00338,Miguel 2023,2023,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,48.0,48.0,,41,86,5.0,kaplan_meier,higher_better,reported_event_rate,Page 5 and Figure 2,Very-high subgroup 5 years 48% (95% CI 35-61%)
SCR00341,Shah 2024,2024,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,12.0,12.0,,2,19,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 11/Table 5,Visual acuity <=20/200 at 60 months: lowest CST 12%
SCR00341,Shah 2024,2024,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,25.0,25.0,,11,45,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 11/Table 5,Visual acuity <=20/200 at 60 months: middle CST 25%
SCR00341,Shah 2024,2024,arm_i125,I125_plaque,I-125 plaque,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,72.0,72.0,,15,21,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 11/Table 5,Visual acuity <=20/200 at 60 months: highest CST 72%
SCR00341,Shah 2024,2024,arm_i125,I125_plaque,I-125 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,72.5,72.5,29.0,29,40,5.0,kaplan_meier,higher_worse,reported_event_rate,Page 10/Table 4,Post-operative 60 months CME on OCT 29/40 (72.5%)
SCR00368,Stalhammar 2023,2023,arm_ru106_cca,Ru106_plaque,Ru-106 plaque,local_recurrence,primary_5y_local_recurrence,5y_local_control_success,21.0,79.0,,347,439,5.0,actuarial,higher_worse,converted_from_local_recurrence,Page 4,"5-, 10-, and 15-year incidence rates ... 21%, 26%, and 28% after CCA plaques"
SCR00368,Stalhammar 2023,2023,arm_ru106_ccb,Ru106_plaque,Ru-106 plaque,local_recurrence,primary_5y_local_recurrence,5y_local_control_success,13.0,87.0,,825,948,5.0,actuarial,higher_worse,converted_from_local_recurrence,Page 4,"13%, 15%, and 15% after treatment with CCB plaques"
SCR00414,Schmelter 2023,2023,arm_cyberknife,Photon_SRS_FSRT,Photon SRS/FSRT,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,18.1,18.1,103.0,103,568,,crude_at_followup,higher_worse,reported_event_rate,Results page 5,"Regarding all treated patients (N = 568), secondary neovascular glaucoma was observed in 18.1% of the eyes (n = 103)"
SCR00551,Sobti 2021,2021,arm_ru106_notched,Ru106_plaque,Ru-106 plaque,local_recurrence,primary_5y_local_control,5y_local_control_success,31.0,69.0,13.0,28,40,5.0,kaplan_meier,higher_worse,converted_from_local_recurrence,Results page 4 / Fig. 2,"The risk of local recurrence within 5 years was 31% (95% CI: 14.1%, 47.8%)"
SCR00551,Sobti 2021,2021,arm_ru106_notched,Ru106_plaque,Ru-106 plaque,eye_retention,secondary_5y_eye_retention,5y_eye_retention_success,88.5,88.5,,,,5.0,kaplan_meier,higher_better,reported_eye_retention,Results page 4,"The risk of enucleation within 5 years was 11.5% (95% CI: 0.9%, 21.8%)"
SCR00551,Sobti 2021,2021,arm_ru106_notched,Ru106_plaque,Ru-106 plaque,overall_survival,secondary_5y_overall_survival,5y_overall_survival,74.9,74.9,,,,5.0,kaplan_meier,higher_better,reported_survival,Results page 4,"The risk of all-cause mortality within 5 years was 25.1% (95% CI: 6.7%, 43.5%)"
SCR00551,Sobti 2021,2021,arm_ru106_notched,Ru106_plaque,Ru-106 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,10.0,10.0,4.0,4,40,,crude_at_followup,higher_worse,reported_event_rate,Results page 4,Complications included maculopathy in 4 patients (10%)
SCR00551,Sobti 2021,2021,arm_ru106_notched,Ru106_plaque,Ru-106 plaque,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,2.5,2.5,1.0,1,40,,crude_at_followup,higher_worse,reported_event_rate,Results page 4,Complications included ... neovascular glaucoma in 1 (2.5%)
SCR00555,Cennamo 2021,2021,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,38.0,38.0,135.0,133,350,5.0,crude_at_followup,higher_worse,reported_event_rate,Results and Table 1,"5 years after treatment, 135 patients (38%) showed radiation maculopathy"
SCR00555,Cennamo 2021,2021,arm_ru106,Ru106_plaque,Ru-106 plaque,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,11.0,11.0,40.0,38,350,5.0,crude_at_followup,higher_worse,reported_event_rate,Results and Table 1,"5 years after treatment, 40 patients (11%) had optic neuropathy"
SCR00581,Guleser 2022,2022,arm_gkrs,Photon_SRS_FSRT,Photon SRS/FSRT,overall_survival,secondary_5y_overall_survival,5y_overall_survival,88.0,88.0,,,,5.0,kaplan_meier,higher_better,reported_survival,Results and Table 2 / Fig. 1,The 5-year overall survival rate was similar in the GKRS (88%) and IBT (89%) groups
SCR00581,Guleser 2022,2022,arm_i125,I125_plaque,I-125 plaque,overall_survival,secondary_5y_overall_survival,5y_overall_survival,89.0,89.0,,,,5.0,kaplan_meier,higher_better,reported_survival,Results and Table 2 / Fig. 1,The 5-year overall survival rate was similar in the GKRS (88%) and IBT (89%) groups
SCR00581,Guleser 2022,2022,arm_gkrs,Photon_SRS_FSRT,Photon SRS/FSRT,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,38.0,38.0,20.0,20,52,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Radiation maculopathy (RM), n (%): 20 (38%)"
SCR00581,Guleser 2022,2022,arm_i125,I125_plaque,I-125 plaque,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,23.4,23.4,47.0,47,201,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Radiation maculopathy (RM), n (%): 47 (23.4%)"
SCR00581,Guleser 2022,2022,arm_gkrs,Photon_SRS_FSRT,Photon SRS/FSRT,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,13.4,13.4,7.0,7,52,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Radiation optic neuropathy (RON), n (%): 7 (13.4%)"
SCR00581,Guleser 2022,2022,arm_i125,I125_plaque,I-125 plaque,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,10.0,10.0,20.0,20,201,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Radiation optic neuropathy (RON), n (%): 20 (10%)"
SCR00581,Guleser 2022,2022,arm_gkrs,Photon_SRS_FSRT,Photon SRS/FSRT,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,8.0,8.0,4.0,4,52,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Neovascular glaucoma (NVG), n (%): 4 (8%)"
SCR00581,Guleser 2022,2022,arm_i125,I125_plaque,I-125 plaque,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,7.0,7.0,14.0,14,201,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Neovascular glaucoma (NVG), n (%): 14 (7%)"
SCR00727,Pica 2021,2021,arm_pbt,PBT,Proton beam,visual_acuity,secondary_5y_visual_acuity_20_200,5y_visual_acuity_20_200,57.0,57.0,176.0,177,310,5.0,crude_at_followup,higher_worse,reported_event_rate,Abstract and Table 1,Table 1 reports low visual outcome 176 (57%) of 310 patients
SCR00727,Pica 2021,2021,arm_pbt,PBT,Proton beam,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,43.0,43.0,133.0,133,310,,crude_at_followup,higher_worse,reported_event_rate,Table 2,Radiation-induced optic neuropathy: total 133 (43%)
SCR00727,Pica 2021,2021,arm_pbt,PBT,Proton beam,radiation_maculopathy,secondary_complications,complication_radiation_maculopathy,58.0,58.0,180.0,180,310,,crude_at_followup,higher_worse,reported_event_rate,Table 2,Radiation-induced maculopathy: total 180 (58%)
SCR00727,Pica 2021,2021,arm_pbt,PBT,Proton beam,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,4.0,4.0,11.0,12,310,,crude_at_followup,higher_worse,reported_event_rate,Table 2,"Neovascular glaucoma: 0 in GVO and 11 (4%) in PVO, total 11 (4%)"
SCR00730,Eibenberger 2021,2021,arm_linac_srt,Photon_SRS_FSRT,Photon SRS/FSRT,radiation_optic_neuropathy,secondary_complications,complication_radiation_optic_neuropathy,51.9,51.9,174.0,174,335,,crude_at_followup,higher_worse,reported_event_rate,Abstract and Table 2,Optic neuropathy (174/335 cases)
SCR00730,Eibenberger 2021,2021,arm_linac_srt,Photon_SRS_FSRT,Photon SRS/FSRT,neovascular_glaucoma,secondary_complications,complication_neovascular_glaucoma,21.2,21.2,71.0,71,335,,crude_at_followup,higher_worse,reported_event_rate,Abstract and Table 2,Neovascular glaucoma (n=71)
SCR00730,Eibenberger 2021,2021,arm_linac_srt,Photon_SRS_FSRT,Photon SRS/FSRT,cataract_surgery,secondary_complications,complication_cataract_surgery,21.8,21.8,73.0,73,335,,crude_at_followup,higher_worse,reported_event_rate,Abstract and Table 2,Cataract Surgery 73
SCR00765,Riechardt 2020,2020,arm_pbt,PBT,Proton beam,local_control,primary_5y_local_control,5y_local_control_success,96.7,96.7,,,,5.0,kaplan_meier,higher_better,reported_local_control,Results page 3,"Kaplan-Meier analysis, overall-survival was 94.9%, metastasis-free survival was 87.6%, and local tumor control rate was 96.7% after 5 years"
SCR00765,Riechardt 2020,2020,arm_pbt,PBT,Proton beam,overall_survival,secondary_5y_overall_survival,5y_overall_survival,94.9,94.9,,,,5.0,kaplan_meier,higher_better,reported_survival,Results page 3,"Kaplan-Meier analysis, overall-survival was 94.9% after 5 years"
